path,file,run_id,nq,sampling_mode,questions_per_template,questions_per_horizon_template,question_type_filter,unique_templates
/Users/jaeholee0404/civbench/archive/20260202_121115/evaluations/parallel_eval_42_20260127_011612.json,parallel_eval_42_20260127_011612.json,20260127_011612,400,horizon_template,10.0,5.0,,20
/Users/jaeholee0404/civbench/archive/20260202_121115/evaluations/parallel_eval_42_20260128_001232.json,parallel_eval_42_20260128_001232.json,20260128_001232,400,horizon_template,10.0,5.0,,20
/Users/jaeholee0404/civbench/archive/20260202_121115/evaluations/parallel_eval_42_20260127_014755.json,parallel_eval_42_20260127_014755.json,20260127_014755,400,horizon_template,10.0,5.0,,20
/Users/jaeholee0404/civbench/archive/20260202_121115/evaluations/parallel_eval_42_20260127_003608.json,parallel_eval_42_20260127_003608.json,20260127_003608,400,horizon_template,10.0,5.0,,20
/Users/jaeholee0404/civbench/archive/20260202_121115/evaluations/parallel_eval_42_20260128_005022.json,parallel_eval_42_20260128_005022.json,20260128_005022,400,horizon_template,10.0,5.0,,20
/Users/jaeholee0404/civbench/archive/20260202_121115/evaluations/parallel_eval_42_20260128_002503.json,parallel_eval_42_20260128_002503.json,20260128_002503,400,horizon_template,10.0,5.0,,20
/Users/jaeholee0404/civbench/archive/20260202_121115/evaluations/parallel_eval_42_20260127_021751.json,parallel_eval_42_20260127_021751.json,20260127_021751,400,horizon_template,10.0,5.0,,20
/Users/jaeholee0404/civbench/archive/20260202_223001/evaluations/parallel_eval_42_20260202_204916.json,parallel_eval_42_20260202_204916.json,20260202_204916,350,horizon_template,10.0,5.0,,10
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251222_233522.json,parallel_eval_42_20251222_233522.json,20251222_233522,270,,,,,17
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/calibration_run.json,calibration_run.json,20260121_002532,208,horizon_template,10.0,2.0,,26
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251228_175937.json,parallel_eval_42_20251228_175937.json,20251228_175937,170,,,,,17
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251223_010916.json,parallel_eval_42_20251223_010916.json,20251223_010916,170,,,,,17
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251223_004830.json,parallel_eval_42_20251223_004830.json,20251223_004830,170,,,,,17
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260115_011702.json,parallel_eval_42_20260115_011702.json,20260115_011702,170,,10.0,,,17
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_6_20260101_204117.json,parallel_eval_6_20260101_204117.json,20260101_204117,120,,,,,3
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260115_024606.json,parallel_eval_42_20260115_024606.json,20260115_024606,120,,10.0,,,12
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_184435.json,parallel_eval_42_20260113_184435.json,20260113_184435,111,,10.0,,,13
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_214937.json,parallel_eval_42_20260113_214937.json,20260113_214937,111,,10.0,,,13
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_150600.json,parallel_eval_42_20260113_150600.json,20260113_150600,111,,10.0,,,13
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_232323.json,parallel_eval_42_20260113_232323.json,20260113_232323,111,,10.0,,,13
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_210842.json,parallel_eval_42_20260113_210842.json,20260113_210842,111,,10.0,,,13
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_142652.json,parallel_eval_42_20260113_142652.json,20260113_142652,111,,10.0,,,13
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_235507.json,parallel_eval_42_20260113_235507.json,20260113_235507,111,,10.0,,,13
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260115_020852.json,parallel_eval_42_20260115_020852.json,20260115_020852,90,,10.0,,,9
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260115_022331.json,parallel_eval_42_20260115_022331.json,20260115_022331,90,,10.0,,,9
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251221_150602.json,parallel_eval_42_20251221_150602.json,20251221_150602,60,,,,,15
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251221_145339.json,parallel_eval_42_20251221_145339.json,20251221_145339,60,,,,,15
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251221_094122.json,parallel_eval_42_20251221_094122.json,20251221_094122,60,,,,,15
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251220_235426.json,parallel_eval_42_20251220_235426.json,20251220_235426,60,,,,,15
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251221_093705.json,parallel_eval_42_20251221_093705.json,20251221_093705,60,,,,,15
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251221_143712.json,parallel_eval_42_20251221_143712.json,20251221_143712,60,,,,,15
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251221_093925.json,parallel_eval_42_20251221_093925.json,20251221_093925,60,,,,,15
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251221_150134.json,parallel_eval_42_20251221_150134.json,20251221_150134,60,,,,,15
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251221_094838.json,parallel_eval_42_20251221_094838.json,20251221_094838,60,,,,,15
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251221_093431.json,parallel_eval_42_20251221_093431.json,20251221_093431,60,,,,,15
/Users/jaeholee0404/civbench/archive/20260202_223001/evaluations/parallel_eval_42_20260202_140811.json,parallel_eval_42_20260202_140811.json,20260202_140811,50,template,5.0,,,10
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_6_20260101_200021.json,parallel_eval_6_20260101_200021.json,20260101_200021,36,,,,,3
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_233453.json,parallel_eval_99_20260120_233453.json,20260120_233453,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_232653.json,parallel_eval_99_20260120_232653.json,20260120_232653,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_230814.json,parallel_eval_99_20260120_230814.json,20260120_230814,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_231136.json,parallel_eval_99_20260120_231136.json,20260120_231136,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260121_002440.json,parallel_eval_99_20260121_002440.json,20260121_002440,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_233331.json,parallel_eval_99_20260120_233331.json,20260120_233331,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260121_002007.json,parallel_eval_99_20260121_002007.json,20260121_002007,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_230803.json,parallel_eval_99_20260120_230803.json,20260120_230803,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_233855.json,parallel_eval_99_20260120_233855.json,20260120_233855,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_231941.json,parallel_eval_99_20260120_231941.json,20260120_231941,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_231111.json,parallel_eval_99_20260120_231111.json,20260120_231111,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_232727.json,parallel_eval_99_20260120_232727.json,20260120_232727,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_230826.json,parallel_eval_99_20260120_230826.json,20260120_230826,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_231124.json,parallel_eval_99_20260120_231124.json,20260120_231124,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_234633.json,parallel_eval_99_20260120_234633.json,20260120_234633,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260121_002130.json,parallel_eval_99_20260121_002130.json,20260121_002130,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_230738.json,parallel_eval_99_20260120_230738.json,20260120_230738,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_231856.json,parallel_eval_99_20260120_231856.json,20260120_231856,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_234414.json,parallel_eval_99_20260120_234414.json,20260120_234414,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_42_20260120_221150.json,parallel_eval_42_20260120_221150.json,20260120_221150,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/parallel_eval_99_20260120_231912.json,parallel_eval_99_20260120_231912.json,20260120_231912,26,template,1.0,,,26
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260115_005904.json,parallel_eval_42_20260115_005904.json,20260115_005904,17,,1.0,,,17
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260115_010643.json,parallel_eval_42_20260115_010643.json,20260115_010643,17,,1.0,,,17
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260115_024339.json,parallel_eval_42_20260115_024339.json,20260115_024339,12,,1.0,,,12
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_230639.json,parallel_eval_42_20260113_230639.json,20260113_230639,11,,1.0,,,11
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_153826.json,parallel_eval_42_20260113_153826.json,20260113_153826,11,,1.0,,,11
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_114817.json,parallel_eval_42_20260113_114817.json,20260113_114817,11,,1.0,,,11
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_184243.json,parallel_eval_42_20260113_184243.json,20260113_184243,11,,1.0,,,11
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_210550.json,parallel_eval_42_20260113_210550.json,20260113_210550,11,,1.0,,,11
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_110010.json,parallel_eval_42_20260113_110010.json,20260113_110010,11,,1.0,,,11
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_153649.json,parallel_eval_42_20260113_153649.json,20260113_153649,11,,1.0,,,11
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_155923.json,parallel_eval_42_20260113_155923.json,20260113_155923,11,,1.0,,,11
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_002542.json,parallel_eval_42_20260113_002542.json,20260113_002542,11,,1.0,,,11
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_224414.json,parallel_eval_42_20260113_224414.json,20260113_224414,11,,1.0,,,11
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260113_003850.json,parallel_eval_42_20260113_003850.json,20260113_003850,11,,1.0,,,11
/Users/jaeholee0404/civbench/archive/20260206_220931/evaluations/parallel_eval_42_20260206_230836.json,parallel_eval_42_20260206_230836.json,20260206_230836,10,template,1.0,,,10
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/h0_test_gemini2.json,h0_test_gemini2.json,20260121_015435,10,template,1.0,,,10
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/h0_test_single.json,h0_test_single.json,20260121_015337,10,template,1.0,,,10
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/h0_test_gemini.json,h0_test_gemini.json,20260121_015407,10,template,1.0,,,10
/Users/jaeholee0404/civbench/archive/20260120_162327/evaluations/h0_test_final.json,h0_test_final.json,20260121_015604,10,template,1.0,,,10
/Users/jaeholee0404/civbench/archive/20260302_121948/evaluations/runs/parallel_eval_42_20260217_014841.json,parallel_eval_42_20260217_014841.json,20260217_014841,10,template,1.0,,binary,10
/Users/jaeholee0404/civbench/archive/20260202_223001/evaluations/parallel_eval_42_20260202_193205.json,parallel_eval_42_20260202_193205.json,20260202_193205,10,template,1.0,,,10
/Users/jaeholee0404/civbench/archive/20260202_223001/evaluations/parallel_eval_42_20260202_160443.json,parallel_eval_42_20260202_160443.json,20260202_160443,10,template,1.0,,,10
/Users/jaeholee0404/civbench/archive/20260202_223001/evaluations/parallel_eval_42_20260202_142358.json,parallel_eval_42_20260202_142358.json,20260202_142358,10,template,1.0,,,10
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260115_020708.json,parallel_eval_42_20260115_020708.json,20260115_020708,9,,1.0,,,9
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260112_175235.json,parallel_eval_42_20260112_175235.json,20260112_175235,5,,,,,3
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260112_174058.json,parallel_eval_42_20260112_174058.json,20260112_174058,5,,,,,3
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251228_161339.json,parallel_eval_42_20251228_161339.json,20251228_161339,5,,,,,3
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20251228_153930.json,parallel_eval_42_20251228_153930.json,20251228_153930,5,,,,,3
/Users/jaeholee0404/civbench/archive/pre_refresh_20260120_162335/evaluations/parallel_eval_42_20260112_175528.json,parallel_eval_42_20260112_175528.json,20260112_175528,5,,,,,3
