model,band,n,q,p
openai/gpt-5.4-nano,8,48,0.8099,0.3873
openai/gpt-5.4-nano,9,102,0.9132,0.3767
openai/o4-mini,0,96,0.0863,0.2322
openai/o4-mini,1,54,0.1849,0.2595
openai/o4-mini,2,83,0.2713,0.2819
openai/o4-mini,3,67,0.3645,0.269
openai/o4-mini,4,67,0.452,0.2649
openai/o4-mini,5,83,0.54,0.3466
openai/o4-mini,6,60,0.6255,0.3177
openai/o4-mini,7,90,0.7356,0.3623
openai/o4-mini,8,48,0.8099,0.409
openai/o4-mini,9,102,0.9132,0.4291
openai/gpt-5-mini,0,96,0.0863,0.3762
openai/gpt-5-mini,1,54,0.1849,0.3752
openai/gpt-5-mini,2,83,0.2713,0.3945
openai/gpt-5-mini,3,67,0.3645,0.4321
openai/gpt-5-mini,4,67,0.452,0.4043
openai/gpt-5-mini,5,83,0.54,0.4607
openai/gpt-5-mini,6,60,0.6255,0.4762
openai/gpt-5-mini,7,90,0.7356,0.4811
openai/gpt-5-mini,8,48,0.8099,0.4579
openai/gpt-5-mini,9,102,0.9132,0.5281
google/gemini-3.1-flash-lite-preview,0,96,0.0863,0.4415
google/gemini-3.1-flash-lite-preview,1,54,0.1849,0.4194
google/gemini-3.1-flash-lite-preview,2,83,0.2713,0.3978
google/gemini-3.1-flash-lite-preview,3,67,0.3645,0.5075
google/gemini-3.1-flash-lite-preview,4,67,0.452,0.4485
google/gemini-3.1-flash-lite-preview,5,83,0.54,0.4963
google/gemini-3.1-flash-lite-preview,6,60,0.6255,0.5033
google/gemini-3.1-flash-lite-preview,7,90,0.7356,0.4927
google/gemini-3.1-flash-lite-preview,8,48,0.8099,0.5306
google/gemini-3.1-flash-lite-preview,9,102,0.9132,0.5621
qwen/qwen3.5-flash-02-23,0,96,0.0863,0.3256
qwen/qwen3.5-flash-02-23,1,54,0.1849,0.3517
qwen/qwen3.5-flash-02-23,2,83,0.2713,0.3769
qwen/qwen3.5-flash-02-23,3,67,0.3645,0.3952
qwen/qwen3.5-flash-02-23,4,67,0.452,0.3837
qwen/qwen3.5-flash-02-23,5,83,0.54,0.4443
qwen/qwen3.5-flash-02-23,6,60,0.6255,0.3855
qwen/qwen3.5-flash-02-23,7,90,0.7356,0.4554
qwen/qwen3.5-flash-02-23,8,48,0.8099,0.4746
qwen/qwen3.5-flash-02-23,9,102,0.9132,0.4978
anthropic/claude-haiku-4.5,0,96,0.0863,0.3502
anthropic/claude-haiku-4.5,1,54,0.1849,0.3331
anthropic/claude-haiku-4.5,2,83,0.2713,0.3484
anthropic/claude-haiku-4.5,3,67,0.3645,0.3904
anthropic/claude-haiku-4.5,4,67,0.452,0.3709
anthropic/claude-haiku-4.5,5,83,0.54,0.4499
anthropic/claude-haiku-4.5,6,60,0.6255,0.4135
anthropic/claude-haiku-4.5,7,90,0.7356,0.4547
anthropic/claude-haiku-4.5,8,48,0.8099,0.4575
anthropic/claude-haiku-4.5,9,102,0.9132,0.48
openai/gpt-5-nano,0,96,0.0863,0.3362
openai/gpt-5-nano,1,54,0.1849,0.345
openai/gpt-5-nano,2,83,0.2713,0.3258
openai/gpt-5-nano,3,67,0.3645,0.3357
openai/gpt-5-nano,4,67,0.452,0.3097
openai/gpt-5-nano,5,83,0.54,0.3513
openai/gpt-5-nano,6,60,0.6255,0.3367
openai/gpt-5-nano,7,90,0.7356,0.3477
openai/gpt-5-nano,8,48,0.8099,0.3815
openai/gpt-5-nano,9,102,0.9132,0.3808
moonshotai/kimi-k2,0,96,0.0863,0.3345
moonshotai/kimi-k2,1,54,0.1849,0.3106
moonshotai/kimi-k2,2,83,0.2713,0.3158
moonshotai/kimi-k2,3,67,0.3645,0.3572
moonshotai/kimi-k2,4,67,0.452,0.3354
moonshotai/kimi-k2,5,83,0.54,0.3781
moonshotai/kimi-k2,6,60,0.6255,0.3997
moonshotai/kimi-k2,7,90,0.7356,0.4176
moonshotai/kimi-k2,8,48,0.8099,0.4394
moonshotai/kimi-k2,9,102,0.9132,0.4136
google/gemini-2.5-flash,0,96,0.0863,0.3723
google/gemini-2.5-flash,1,54,0.1849,0.4319
google/gemini-2.5-flash,2,83,0.2713,0.4619
google/gemini-2.5-flash,3,67,0.3645,0.5391
google/gemini-2.5-flash,4,67,0.452,0.4921
google/gemini-2.5-flash,5,83,0.54,0.5102
google/gemini-2.5-flash,6,60,0.6255,0.5512
google/gemini-2.5-flash,7,90,0.7356,0.5492
google/gemini-2.5-flash,8,48,0.8099,0.5921
google/gemini-2.5-flash,9,102,0.9132,0.6053
qwen/qwen3-235b-a22b,0,96,0.0863,0.2928
qwen/qwen3-235b-a22b,1,54,0.1849,0.3185
qwen/qwen3-235b-a22b,2,83,0.2713,0.3348
qwen/qwen3-235b-a22b,3,67,0.3645,0.3599
qwen/qwen3-235b-a22b,4,67,0.452,0.294
qwen/qwen3-235b-a22b,5,83,0.54,0.3847
qwen/qwen3-235b-a22b,6,60,0.6255,0.3571
qwen/qwen3-235b-a22b,7,90,0.7356,0.3893
qwen/qwen3-235b-a22b,8,48,0.8099,0.3998
qwen/qwen3-235b-a22b,9,102,0.9132,0.4096
openai/gpt-4.1,0,96,0.0863,0.4467
openai/gpt-4.1,1,54,0.1849,0.4456
openai/gpt-4.1,2,83,0.2713,0.492
openai/gpt-4.1,3,67,0.3645,0.5476
openai/gpt-4.1,4,67,0.452,0.4891
openai/gpt-4.1,5,83,0.54,0.559
openai/gpt-4.1,6,60,0.6255,0.5308
openai/gpt-4.1,7,90,0.7356,0.6032
openai/gpt-4.1,8,48,0.8099,0.6197
openai/gpt-4.1,9,102,0.9132,0.6354
deepseek/deepseek-chat,0,96,0.0863,0.3518
deepseek/deepseek-chat,1,54,0.1849,0.3519
deepseek/deepseek-chat,2,83,0.2713,0.3236
deepseek/deepseek-chat,3,67,0.3645,0.3799
deepseek/deepseek-chat,4,67,0.452,0.3634
deepseek/deepseek-chat,5,83,0.54,0.4431
deepseek/deepseek-chat,6,60,0.6255,0.397
deepseek/deepseek-chat,7,90,0.7356,0.3989
deepseek/deepseek-chat,8,48,0.8099,0.4052
deepseek/deepseek-chat,9,102,0.9132,0.4536
meta-llama/llama-4-scout,0,96,0.0863,0.3229
meta-llama/llama-4-scout,1,54,0.1849,0.312
meta-llama/llama-4-scout,2,83,0.2713,0.3214
meta-llama/llama-4-scout,3,67,0.3645,0.3157
meta-llama/llama-4-scout,4,67,0.452,0.307
meta-llama/llama-4-scout,5,83,0.54,0.3855
meta-llama/llama-4-scout,6,60,0.6255,0.3558
meta-llama/llama-4-scout,7,90,0.7356,0.3639
meta-llama/llama-4-scout,8,48,0.8099,0.3396
meta-llama/llama-4-scout,9,102,0.9132,0.4098
