model,set,bias,bits,cov90,excess,gain,move,n,ncrps,stay,target
anthropic/claude-opus-5,mirrors|120,-0.6719,1.8951,,0.4817,,,10,,,
anthropic/claude-opus-5,mirrors|150,-0.5762,1.7803,,0.4467,,,10,,,
anthropic/claude-opus-5,mirrors|180,-0.5725,1.6675,,0.4027,,,10,,,
anthropic/claude-opus-5,mirrors|210,-0.502,1.2947,,0.3372,,,10,,,
anthropic/claude-opus-5,mirrors|all,-0.5899,1.7059,,0.4305,,,50,,,
anthropic/claude-opus-5,continuous|90,,,0.6717,0.2154,,,60,0.2847,,
anthropic/claude-opus-5,continuous|120,,,0.5324,0.5033,,,60,0.6288,,
anthropic/claude-opus-5,continuous|150,,,0.5412,0.5023,,,60,0.6528,,
anthropic/claude-opus-5,continuous|180,,,0.5788,0.5993,,,60,0.7906,,
anthropic/claude-opus-5,continuous|210,,,0.6497,0.6116,,,60,0.8263,,
anthropic/claude-opus-5,continuous|all,,,0.5948,0.4864,,,300,0.6366,,
anthropic/claude-opus-5,natcond|120,,,,0.1173,-0.0174,0.2111,100,,0.0999,0.1029
anthropic/claude-opus-5,natcond|150,,,,0.1172,-0.0044,0.1934,100,,0.1127,0.067
anthropic/claude-opus-5,natcond|180,,,,0.1246,-0.0113,0.1951,100,,0.1133,0.0879
anthropic/claude-opus-5,natcond|210,,,,0.0888,0.0108,0.1071,100,,0.0996,0.0364
anthropic/claude-opus-5,natcond|all,,,,0.112,-0.0056,0.1767,400,,0.1064,0.0735
openai/gpt-5.6-sol,bank|90,-0.159,0.4661,,0.1091,,,150,,,
openai/gpt-5.6-sol,bank|120,-0.0779,0.3767,,0.0954,,,150,,,
openai/gpt-5.6-sol,bank|150,-0.0005,0.4435,,0.109,,,150,,,
openai/gpt-5.6-sol,bank|180,0.04,0.471,,0.1147,,,150,,,
openai/gpt-5.6-sol,bank|210,0.0543,0.4409,,0.1162,,,150,,,
openai/gpt-5.6-sol,bank|all,-0.0286,0.4396,,0.1089,,,750,,,
openai/gpt-5.6-sol,tails|90,0.1761,0.3634,,0.0777,,,60,,,
openai/gpt-5.6-sol,tails|120,0.2508,0.4797,,0.1084,,,60,,,
openai/gpt-5.6-sol,tails|150,0.2863,0.5423,,0.1386,,,60,,,
openai/gpt-5.6-sol,tails|180,0.3234,0.6923,,0.1691,,,60,,,
openai/gpt-5.6-sol,tails|210,0.4352,1.0397,,0.2613,,,60,,,
openai/gpt-5.6-sol,tails|all,0.2944,0.6235,,0.151,,,300,,,
openai/gpt-5.6-sol,mirrors|90,-0.4248,1.035,,0.2766,,,10,,,
openai/gpt-5.6-sol,mirrors|120,-0.3539,0.6242,,0.1456,,,10,,,
openai/gpt-5.6-sol,mirrors|150,-0.2462,0.401,,0.0879,,,10,,,
openai/gpt-5.6-sol,mirrors|180,-0.345,0.6989,,0.1794,,,10,,,
openai/gpt-5.6-sol,mirrors|210,-0.3232,0.7721,,0.2096,,,10,,,
openai/gpt-5.6-sol,mirrors|all,-0.3386,0.7062,,0.1798,,,50,,,
openai/gpt-5.6-sol,continuous|90,,,0.697,0.2249,,,60,0.2942,,
openai/gpt-5.6-sol,continuous|120,,,0.7344,0.3991,,,60,0.5245,,
openai/gpt-5.6-sol,continuous|150,,,0.8005,0.3276,,,60,0.4781,,
openai/gpt-5.6-sol,continuous|180,,,0.7909,0.4155,,,60,0.6068,,
openai/gpt-5.6-sol,continuous|210,,,0.8623,0.5079,,,60,0.7226,,
openai/gpt-5.6-sol,continuous|all,,,0.777,0.375,,,300,0.5252,,
openai/gpt-5.6-sol,natcond|120,,,,0.0845,0.0103,0.1665,100,,0.0949,0.1029
openai/gpt-5.6-sol,natcond|150,,,,0.0995,0.0242,0.1552,100,,0.1237,0.067
openai/gpt-5.6-sol,natcond|180,,,,0.106,0.0135,0.1384,100,,0.1195,0.0879
openai/gpt-5.6-sol,natcond|210,,,,0.1108,0.0154,0.0729,100,,0.1262,0.0364
openai/gpt-5.6-sol,natcond|all,,,,0.1002,0.0159,0.1333,400,,0.1161,0.0735
openai/gpt-5.5,bank|90,-0.1975,0.4791,,0.1246,,,150,,,
openai/gpt-5.5,bank|120,-0.1448,0.3708,,0.1033,,,150,,,
openai/gpt-5.5,bank|150,-0.0916,0.3994,,0.1087,,,150,,,
openai/gpt-5.5,bank|180,-0.0434,0.408,,0.111,,,150,,,
openai/gpt-5.5,bank|210,-0.042,0.3459,,0.1006,,,150,,,
openai/gpt-5.5,bank|all,-0.1039,0.4006,,0.1097,,,750,,,
openai/gpt-5.5,tails|90,0.1663,0.263,,0.0536,,,60,,,
openai/gpt-5.5,tails|120,0.2177,0.3614,,0.082,,,60,,,
openai/gpt-5.5,tails|150,0.2463,0.4139,,0.0977,,,60,,,
openai/gpt-5.5,tails|180,0.2662,0.4652,,0.11,,,60,,,
openai/gpt-5.5,tails|210,0.3601,0.695,,0.178,,,60,,,
openai/gpt-5.5,tails|all,0.2513,0.4397,,0.1043,,,300,,,
openai/gpt-5.5,mirrors|90,-0.5428,1.3358,,0.3622,,,10,,,
openai/gpt-5.5,mirrors|120,-0.4529,0.8894,,0.2265,,,10,,,
openai/gpt-5.5,mirrors|150,-0.4432,0.9078,,0.2436,,,10,,,
openai/gpt-5.5,mirrors|180,-0.4865,1.0349,,0.2837,,,10,,,
openai/gpt-5.5,mirrors|210,-0.401,0.9271,,0.2373,,,10,,,
openai/gpt-5.5,mirrors|all,-0.4653,1.019,,0.2707,,,50,,,
openai/gpt-5.5,continuous|90,,,0.7166,0.2139,,,60,0.2832,,
openai/gpt-5.5,continuous|120,,,0.6738,0.336,,,60,0.4615,,
openai/gpt-5.5,continuous|150,,,0.7362,0.3084,,,60,0.4589,,
openai/gpt-5.5,continuous|180,,,0.7164,0.4336,,,60,0.6249,,
openai/gpt-5.5,continuous|210,,,0.7669,0.5412,,,60,0.7559,,
openai/gpt-5.5,continuous|all,,,0.722,0.3666,,,300,0.5169,,
openai/gpt-5.5,natcond|120,,,,0.0875,0.0054,0.2042,100,,0.0929,0.1029
openai/gpt-5.5,natcond|150,,,,0.1022,0.0198,0.1837,100,,0.122,0.067
openai/gpt-5.5,natcond|180,,,,0.0954,0.0181,0.1691,100,,0.1135,0.0879
openai/gpt-5.5,natcond|210,,,,0.0926,0.0219,0.0939,100,,0.1145,0.0364
openai/gpt-5.5,natcond|all,,,,0.0944,0.0163,0.1627,400,,0.1107,0.0735
google/gemini-3.7-flash,bank|90,-0.077,0.4316,,0.1058,,,150,,,
google/gemini-3.7-flash,bank|120,-0.0702,0.4943,,0.1249,,,150,,,
google/gemini-3.7-flash,bank|150,0.0081,0.4536,,0.1159,,,150,,,
google/gemini-3.7-flash,bank|180,0.0619,0.4793,,0.1184,,,150,,,
google/gemini-3.7-flash,bank|210,0.0542,0.4281,,0.1132,,,150,,,
google/gemini-3.7-flash,bank|all,-0.0046,0.4574,,0.1156,,,750,,,
google/gemini-3.7-flash,tails|90,0.1939,0.3863,,0.0911,,,60,,,
google/gemini-3.7-flash,tails|120,0.2464,0.5091,,0.1271,,,60,,,
google/gemini-3.7-flash,tails|150,0.2918,0.6277,,0.1596,,,60,,,
google/gemini-3.7-flash,tails|180,0.3143,0.7441,,0.1773,,,60,,,
google/gemini-3.7-flash,tails|210,0.404,0.9918,,0.244,,,60,,,
google/gemini-3.7-flash,tails|all,0.2901,0.6518,,0.1598,,,300,,,
google/gemini-3.7-flash,mirrors|90,-0.2918,0.5979,,0.1379,,,10,,,
google/gemini-3.7-flash,mirrors|120,-0.2739,0.56,,0.1186,,,10,,,
google/gemini-3.7-flash,mirrors|150,-0.2772,0.6426,,0.142,,,10,,,
google/gemini-3.7-flash,mirrors|180,-0.2765,0.6089,,0.1357,,,10,,,
google/gemini-3.7-flash,mirrors|210,-0.303,0.6535,,0.1693,,,10,,,
google/gemini-3.7-flash,mirrors|all,-0.2845,0.6126,,0.1407,,,50,,,
google/gemini-3.7-flash,continuous|90,,,0.7821,0.1752,,,60,0.2445,,
google/gemini-3.7-flash,continuous|120,,,0.6732,0.3436,,,60,0.469,,
google/gemini-3.7-flash,continuous|150,,,0.7455,0.3816,,,60,0.5321,,
google/gemini-3.7-flash,continuous|180,,,0.6956,0.5384,,,60,0.7297,,
google/gemini-3.7-flash,continuous|210,,,0.7637,0.5381,,,60,0.7527,,
google/gemini-3.7-flash,continuous|all,,,0.732,0.3954,,,300,0.5456,,
google/gemini-3.7-flash,natcond|120,,,,0.1207,-0.0039,0.2404,100,,0.1167,0.1029
google/gemini-3.7-flash,natcond|150,,,,0.1272,0.0019,0.1898,100,,0.1292,0.067
google/gemini-3.7-flash,natcond|180,,,,0.1441,-0.0117,0.1927,100,,0.1324,0.0879
google/gemini-3.7-flash,natcond|210,,,,0.0934,0.0053,0.1004,100,,0.0988,0.0364
google/gemini-3.7-flash,natcond|all,,,,0.1214,-0.0021,0.1808,400,,0.1193,0.0735
openai/gpt-5.6-luna,bank|90,-0.1514,0.5193,,0.118,,,150,,,
openai/gpt-5.6-luna,bank|120,-0.1172,0.5378,,0.13,,,150,,,
openai/gpt-5.6-luna,bank|150,-0.0776,0.4722,,0.115,,,150,,,
openai/gpt-5.6-luna,bank|180,-0.0077,0.4523,,0.1179,,,150,,,
openai/gpt-5.6-luna,bank|210,-0.024,0.4046,,0.1093,,,150,,,
openai/gpt-5.6-luna,bank|all,-0.0756,0.4773,,0.118,,,750,,,
openai/gpt-5.6-luna,tails|90,0.2472,0.4417,,0.1023,,,60,,,
openai/gpt-5.6-luna,tails|120,0.2734,0.504,,0.1217,,,60,,,
openai/gpt-5.6-luna,tails|150,0.348,0.6824,,0.1751,,,60,,,
openai/gpt-5.6-luna,tails|180,0.3584,0.7389,,0.1864,,,60,,,
openai/gpt-5.6-luna,tails|210,0.4112,0.8688,,0.2233,,,60,,,
openai/gpt-5.6-luna,tails|all,0.3276,0.6472,,0.1618,,,300,,,
openai/gpt-5.6-luna,mirrors|90,-0.4468,0.9707,,0.2634,,,10,,,
openai/gpt-5.6-luna,mirrors|120,-0.3989,0.7615,,0.1891,,,10,,,
openai/gpt-5.6-luna,mirrors|150,-0.3802,0.8405,,0.2091,,,10,,,
openai/gpt-5.6-luna,mirrors|180,-0.367,0.7372,,0.1842,,,10,,,
openai/gpt-5.6-luna,mirrors|210,-0.389,0.8637,,0.2251,,,10,,,
openai/gpt-5.6-luna,mirrors|all,-0.3964,0.8347,,0.2142,,,50,,,
openai/gpt-5.6-luna,continuous|90,,,0.6925,0.2873,,,60,0.3566,,
openai/gpt-5.6-luna,continuous|120,,,0.5916,0.5013,,,60,0.6267,,
openai/gpt-5.6-luna,continuous|150,,,0.7232,0.3584,,,60,0.5089,,
openai/gpt-5.6-luna,continuous|180,,,0.7476,0.4537,,,60,0.645,,
openai/gpt-5.6-luna,continuous|210,,,0.7275,0.4897,,,60,0.7044,,
openai/gpt-5.6-luna,continuous|all,,,0.6965,0.4181,,,300,0.5683,,
openai/gpt-5.6-luna,natcond|120,,,,0.103,-0.015,0.1637,100,,0.088,0.1029
openai/gpt-5.6-luna,natcond|150,,,,0.1101,0.0001,0.1444,100,,0.1102,0.067
openai/gpt-5.6-luna,natcond|180,,,,0.1041,-0.0014,0.1399,100,,0.1027,0.0879
openai/gpt-5.6-luna,natcond|210,,,,0.106,0.0072,0.0768,100,,0.1132,0.0364
openai/gpt-5.6-luna,natcond|all,,,,0.1058,-0.0023,0.1312,400,,0.1035,0.0735
anthropic/claude-sonnet-5,bank|90,-0.2449,0.6342,,0.1473,,,150,,,
anthropic/claude-sonnet-5,bank|120,-0.2347,0.6614,,0.1533,,,150,,,
anthropic/claude-sonnet-5,bank|150,-0.1854,0.6263,,0.1517,,,150,,,
anthropic/claude-sonnet-5,bank|180,-0.1541,0.5622,,0.1349,,,150,,,
anthropic/claude-sonnet-5,bank|210,-0.2011,0.6057,,0.1443,,,150,,,
anthropic/claude-sonnet-5,bank|all,-0.204,0.618,,0.1463,,,750,,,
anthropic/claude-sonnet-5,tails|90,0.1214,0.1901,,0.0388,,,60,,,
anthropic/claude-sonnet-5,tails|120,0.1684,0.2696,,0.0591,,,60,,,
anthropic/claude-sonnet-5,tails|150,0.1453,0.2133,,0.0418,,,60,,,
anthropic/claude-sonnet-5,tails|180,0.1526,0.228,,0.0464,,,60,,,
anthropic/claude-sonnet-5,tails|210,0.212,0.368,,0.0844,,,60,,,
anthropic/claude-sonnet-5,tails|all,0.1599,0.2538,,0.0541,,,300,,,
anthropic/claude-sonnet-5,mirrors|90,-0.6078,1.8784,,0.4559,,,10,,,
anthropic/claude-sonnet-5,mirrors|120,-0.5839,1.4954,,0.3764,,,10,,,
anthropic/claude-sonnet-5,mirrors|150,-0.5952,1.8091,,0.4496,,,10,,,
anthropic/claude-sonnet-5,mirrors|180,-0.5135,1.5844,,0.3558,,,10,,,
anthropic/claude-sonnet-5,mirrors|210,-0.468,1.2716,,0.3142,,,10,,,
anthropic/claude-sonnet-5,mirrors|all,-0.5537,1.6078,,0.3904,,,50,,,
anthropic/claude-sonnet-5,continuous|90,,,0.6253,0.2422,,,60,0.3116,,
anthropic/claude-sonnet-5,continuous|120,,,0.5335,0.4269,,,60,0.5523,,
anthropic/claude-sonnet-5,continuous|150,,,0.5659,0.4353,,,60,0.5858,,
anthropic/claude-sonnet-5,continuous|180,,,0.5555,0.4783,,,60,0.6696,,
anthropic/claude-sonnet-5,continuous|210,,,0.5273,0.6011,,,60,0.8158,,
anthropic/claude-sonnet-5,continuous|all,,,0.5615,0.4368,,,300,0.587,,
anthropic/claude-sonnet-5,natcond|120,,,,0.1079,-0.0092,0.1738,100,,0.0986,0.1029
anthropic/claude-sonnet-5,natcond|150,,,,0.12,-0.0025,0.1489,100,,0.1175,0.067
anthropic/claude-sonnet-5,natcond|180,,,,0.1206,-0.004,0.1589,100,,0.1166,0.0879
anthropic/claude-sonnet-5,natcond|210,,,,0.1029,0.0086,0.0846,100,,0.1115,0.0364
anthropic/claude-sonnet-5,natcond|all,,,,0.1128,-0.0018,0.1415,400,,0.1111,0.0735
deepseek/deepseek-v4-flash-0731,bank|90,-0.1623,0.6335,,0.1362,,,150,,,
deepseek/deepseek-v4-flash-0731,bank|120,-0.1521,0.7239,,0.1441,,,150,,,
deepseek/deepseek-v4-flash-0731,bank|150,-0.1538,0.6485,,0.1418,,,150,,,
deepseek/deepseek-v4-flash-0731,bank|180,-0.0859,0.5775,,0.1341,,,150,,,
deepseek/deepseek-v4-flash-0731,bank|210,-0.1092,0.5537,,0.1402,,,150,,,
deepseek/deepseek-v4-flash-0731,bank|all,-0.1326,0.6274,,0.1393,,,750,,,
deepseek/deepseek-v4-flash-0731,tails|90,0.1855,0.3549,,0.085,,,60,,,
deepseek/deepseek-v4-flash-0731,tails|120,0.1874,0.3266,,0.0767,,,60,,,
deepseek/deepseek-v4-flash-0731,tails|150,0.2563,0.4993,,0.1253,,,60,,,
deepseek/deepseek-v4-flash-0731,tails|180,0.2343,0.474,,0.1126,,,60,,,
deepseek/deepseek-v4-flash-0731,tails|210,0.3472,0.7719,,0.1969,,,60,,,
deepseek/deepseek-v4-flash-0731,tails|all,0.2421,0.4854,,0.1193,,,300,,,
deepseek/deepseek-v4-flash-0731,mirrors|90,-0.5038,1.2598,,0.3265,,,10,,,
deepseek/deepseek-v4-flash-0731,mirrors|120,-0.5329,1.2515,,0.3271,,,10,,,
deepseek/deepseek-v4-flash-0731,mirrors|150,-0.4842,1.5261,,0.3333,,,10,,,
deepseek/deepseek-v4-flash-0731,mirrors|180,-0.4585,1.2105,,0.3097,,,10,,,
deepseek/deepseek-v4-flash-0731,mirrors|210,-0.485,1.3796,,0.3453,,,10,,,
deepseek/deepseek-v4-flash-0731,mirrors|all,-0.4929,1.3255,,0.3284,,,50,,,
deepseek/deepseek-v4-flash-0731,continuous|90,,,0.6776,0.2566,,,60,0.3253,,
deepseek/deepseek-v4-flash-0731,continuous|120,,,0.4957,0.5198,,,60,0.6457,,
deepseek/deepseek-v4-flash-0731,continuous|150,,,0.5649,0.4826,,,60,0.6325,,
deepseek/deepseek-v4-flash-0731,continuous|180,,,0.5909,0.5106,,,60,0.7023,,
deepseek/deepseek-v4-flash-0731,continuous|210,,,0.6419,0.5578,,,60,0.7699,,
deepseek/deepseek-v4-flash-0731,continuous|all,,,0.5941,0.4675,,,300,0.6183,,
deepseek/deepseek-v4-flash-0731,natcond|120,,,,0.1139,-0.0098,0.242,100,,0.1041,0.1026
deepseek/deepseek-v4-flash-0731,natcond|150,,,,0.1425,-0.0123,0.2361,100,,0.1302,0.067
deepseek/deepseek-v4-flash-0731,natcond|180,,,,0.126,0.0011,0.2442,100,,0.1272,0.0885
deepseek/deepseek-v4-flash-0731,natcond|210,,,,0.1158,0.0238,0.1368,100,,0.1395,0.0364
deepseek/deepseek-v4-flash-0731,natcond|all,,,,0.1246,0.0007,0.2145,400,,0.1253,0.0735
google/gemini-3-flash-preview,bank|90,-0.0641,0.3702,,0.0995,,,150,,,
google/gemini-3-flash-preview,bank|120,-0.0344,0.3828,,0.1069,,,150,,,
google/gemini-3-flash-preview,bank|150,0.0095,0.4144,,0.1126,,,150,,,
google/gemini-3-flash-preview,bank|180,0.0546,0.3949,,0.1074,,,150,,,
google/gemini-3-flash-preview,bank|210,0.0333,0.3532,,0.1007,,,150,,,
google/gemini-3-flash-preview,bank|all,-0.0002,0.3831,,0.1054,,,750,,,
google/gemini-3-flash-preview,tails|90,0.2286,0.3903,,0.0875,,,60,,,
google/gemini-3-flash-preview,tails|120,0.2784,0.5331,,0.129,,,60,,,
google/gemini-3-flash-preview,tails|150,0.3068,0.6003,,0.1521,,,60,,,
google/gemini-3-flash-preview,tails|180,0.2989,0.6036,,0.1455,,,60,,,
google/gemini-3-flash-preview,tails|210,0.3766,0.7804,,0.1981,,,60,,,
google/gemini-3-flash-preview,tails|all,0.2979,0.5815,,0.1424,,,300,,,
google/gemini-3-flash-preview,mirrors|90,-0.4138,0.8851,,0.235,,,10,,,
google/gemini-3-flash-preview,mirrors|120,-0.2979,0.5782,,0.1246,,,10,,,
google/gemini-3-flash-preview,mirrors|150,-0.4812,1.1488,,0.3119,,,10,,,
google/gemini-3-flash-preview,mirrors|180,-0.3265,0.6876,,0.1762,,,10,,,
google/gemini-3-flash-preview,mirrors|210,-0.338,0.6798,,0.1776,,,10,,,
google/gemini-3-flash-preview,mirrors|all,-0.3715,0.7959,,0.205,,,50,,,
google/gemini-3-flash-preview,continuous|90,,,0.7587,0.189,,,60,0.2584,,
google/gemini-3-flash-preview,continuous|120,,,0.7462,0.3341,,,60,0.4596,,
google/gemini-3-flash-preview,continuous|150,,,0.7082,0.3608,,,60,0.5113,,
google/gemini-3-flash-preview,continuous|180,,,0.6898,0.5154,,,60,0.7068,,
google/gemini-3-flash-preview,continuous|210,,,0.6811,0.6517,,,60,0.8663,,
google/gemini-3-flash-preview,continuous|all,,,0.7168,0.4102,,,300,0.5605,,
google/gemini-3-flash-preview,natcond|120,,,,0.1302,-0.0219,0.2396,100,,0.1083,0.1029
google/gemini-3-flash-preview,natcond|150,,,,0.1157,-0.0018,0.2331,100,,0.1139,0.067
google/gemini-3-flash-preview,natcond|180,,,,0.1248,-0.0174,0.2129,100,,0.1073,0.0879
google/gemini-3-flash-preview,natcond|210,,,,0.0846,0.0032,0.1281,100,,0.0878,0.0364
google/gemini-3-flash-preview,natcond|all,,,,0.1138,-0.0095,0.2034,400,,0.1043,0.0735
openai/gpt-5,bank|90,-0.1065,0.3718,,0.1,,,150,,,
openai/gpt-5,bank|120,-0.1032,0.4322,,0.1143,,,150,,,
openai/gpt-5,bank|150,-0.023,0.3991,,0.1138,,,150,,,
openai/gpt-5,bank|180,0.0107,0.4074,,0.1163,,,150,,,
openai/gpt-5,bank|210,0.0211,0.3862,,0.1139,,,150,,,
openai/gpt-5,bank|all,-0.0402,0.3994,,0.1117,,,750,,,
openai/gpt-5,tails|90,0.2651,0.4755,,0.112,,,60,,,
openai/gpt-5,tails|120,0.2887,0.502,,0.121,,,60,,,
openai/gpt-5,tails|150,0.3553,0.6775,,0.1758,,,60,,,
openai/gpt-5,tails|180,0.3689,0.7341,,0.1903,,,60,,,
openai/gpt-5,tails|210,0.4516,0.9858,,0.2652,,,60,,,
openai/gpt-5,tails|all,0.3459,0.675,,0.1728,,,300,,,
openai/gpt-5,mirrors|90,-0.3868,0.7296,,0.1856,,,10,,,
openai/gpt-5,mirrors|120,-0.3819,0.7845,,0.1801,,,10,,,
openai/gpt-5,mirrors|150,-0.3612,0.6552,,0.1665,,,10,,,
openai/gpt-5,mirrors|180,-0.3705,0.7334,,0.1839,,,10,,,
openai/gpt-5,mirrors|210,-0.351,0.6632,,0.1602,,,10,,,
openai/gpt-5,mirrors|all,-0.3703,0.7132,,0.1753,,,50,,,
openai/gpt-5,continuous|90,,,0.6337,0.2488,,,60,0.3182,,
openai/gpt-5,continuous|120,,,0.4885,0.4853,,,60,0.6107,,
openai/gpt-5,continuous|150,,,0.5665,0.3714,,,60,0.5219,,
openai/gpt-5,continuous|180,,,0.5189,0.4293,,,60,0.6206,,
openai/gpt-5,continuous|210,,,0.7103,0.3232,,,60,0.5379,,
openai/gpt-5,continuous|all,,,0.5836,0.3716,,,300,0.5219,,
openai/gpt-5,natcond|120,,,,0.0995,-0.0134,0.1543,100,,0.0861,0.1029
openai/gpt-5,natcond|150,,,,0.1099,0.0049,0.1379,100,,0.1148,0.067
openai/gpt-5,natcond|180,,,,0.1089,-0.0001,0.1297,100,,0.1088,0.0879
openai/gpt-5,natcond|210,,,,0.1069,0.0061,0.0671,100,,0.113,0.0364
openai/gpt-5,natcond|all,,,,0.1063,-0.0006,0.1222,400,,0.1057,0.0735
openai/o3,bank|90,-0.1527,0.383,,0.1025,,,150,,,
openai/o3,bank|120,-0.1418,0.4169,,0.115,,,150,,,
openai/o3,bank|150,-0.0793,0.3429,,0.0985,,,150,,,
openai/o3,bank|180,-0.0287,0.4061,,0.1098,,,150,,,
openai/o3,bank|210,-0.0346,0.3335,,0.0973,,,150,,,
openai/o3,bank|all,-0.0874,0.3765,,0.1046,,,750,,,
openai/o3,tails|90,0.2517,0.419,,0.0914,,,60,,,
openai/o3,tails|120,0.2129,0.3168,,0.0615,,,60,,,
openai/o3,tails|150,0.3015,0.5195,,0.1255,,,60,,,
openai/o3,tails|180,0.3053,0.5352,,0.1264,,,60,,,
openai/o3,tails|210,0.367,0.6958,,0.1758,,,60,,,
openai/o3,tails|all,0.2877,0.4973,,0.1161,,,300,,,
openai/o3,mirrors|90,-0.5108,1.1146,,0.3118,,,10,,,
openai/o3,mirrors|120,-0.4289,0.8605,,0.2165,,,10,,,
openai/o3,mirrors|150,-0.4172,0.8299,,0.2211,,,10,,,
openai/o3,mirrors|180,-0.4615,0.9478,,0.2544,,,10,,,
openai/o3,mirrors|210,-0.429,0.9454,,0.2468,,,10,,,
openai/o3,mirrors|all,-0.4495,0.9397,,0.2501,,,50,,,
openai/o3,continuous|90,,,0.7353,0.2266,,,60,0.2959,,
openai/o3,continuous|120,,,0.6167,0.4977,,,60,0.6231,,
openai/o3,continuous|150,,,0.743,0.3526,,,60,0.5031,,
openai/o3,continuous|180,,,0.7924,0.3675,,,60,0.5588,,
openai/o3,continuous|210,,,0.8538,0.3355,,,60,0.5501,,
openai/o3,continuous|all,,,0.7482,0.356,,,300,0.5062,,
openai/o3,natcond|120,,,,0.0806,-0.0041,0.1711,100,,0.0765,0.1029
openai/o3,natcond|150,,,,0.0919,-0.0036,0.177,100,,0.0883,0.067
openai/o3,natcond|180,,,,0.0989,0.019,0.164,100,,0.1179,0.0879
openai/o3,natcond|210,,,,0.0843,0.0157,0.0918,100,,0.1,0.0366
openai/o3,natcond|all,,,,0.0889,0.0067,0.1511,400,,0.0957,0.0737
openai/gpt-5.4-nano,bank|90,-0.2281,0.5924,,0.1405,,,150,,,
openai/gpt-5.4-nano,bank|120,-0.228,0.6403,,0.1458,,,150,,,
openai/gpt-5.4-nano,bank|150,-0.2048,0.6295,,0.1456,,,150,,,
openai/gpt-5.4-nano,bank|180,-0.1695,0.5202,,0.1269,,,150,,,
