model,block,horizon,excess,gain,move,n,stay,target
anthropic/claude-opus-5,B,180,0.227,0.0126,0.0267,9,0.2396,0.0241
anthropic/claude-opus-5,B,210,0.0757,-0.007,0.0356,9,0.0687,0.0022
anthropic/claude-opus-5,B,all,0.1232,0.0068,0.0442,36,0.13,0.0123
anthropic/claude-opus-5,C1,120,0.1643,-0.1357,0.342,15,0.0286,0.1968
anthropic/claude-opus-5,C1,150,0.1275,-0.0825,0.278,15,0.045,0.1057
anthropic/claude-opus-5,C1,180,0.1247,-0.0782,0.3167,15,0.0465,0.1144
anthropic/claude-opus-5,C1,210,0.1051,-0.0116,0.2436,11,0.0936,0.0624
anthropic/claude-opus-5,C1,all,0.1322,-0.0817,0.2988,56,0.0505,0.1239
anthropic/claude-opus-5,C2,120,0.1028,0.005,0.304,42,0.1078,0.1294
anthropic/claude-opus-5,C2,150,0.0774,-0.0097,0.2993,42,0.0678,0.0883
anthropic/claude-opus-5,C2,180,0.0837,-0.017,0.281,42,0.0666,0.102
anthropic/claude-opus-5,C2,210,0.0523,0.0101,0.1304,46,0.0624,0.0328
anthropic/claude-opus-5,C2,all,0.0784,-0.0026,0.2508,172,0.0758,0.0869
anthropic/claude-opus-5,D,120,0.1286,-0.0182,0.086,25,0.1105,0.0645
anthropic/claude-opus-5,D,150,0.1219,0.0417,0.0728,25,0.1636,0.0523
anthropic/claude-opus-5,D,180,0.1557,0.0254,0.0984,25,0.1811,0.0991
anthropic/claude-opus-5,D,210,0.1471,0.0307,0.0592,25,0.1778,0.0553
anthropic/claude-opus-5,D,all,0.1384,0.0199,0.0791,100,0.1583,0.0678
openai/gpt-5.6-sol,A,120,0.0271,0.0116,0.03,9,0.0387,0.0167
openai/gpt-5.6-sol,A,150,0.1367,-0.0097,0.0533,9,0.127,0.0039
openai/gpt-5.6-sol,A,180,0.1029,0.0015,0.0211,9,0.1044,0.0103
openai/gpt-5.6-sol,A,210,0.094,0.0056,0.02,9,0.0997,0.0042
openai/gpt-5.6-sol,A,all,0.0902,0.0022,0.0311,36,0.0924,0.0088
openai/gpt-5.6-sol,B,120,0.0421,0.0208,0.0628,9,0.063,0.0157
openai/gpt-5.6-sol,B,150,0.169,-0.0161,0.0276,9,0.1529,0.0071
openai/gpt-5.6-sol,B,180,0.1428,0.0081,0.0389,9,0.1509,0.0241
openai/gpt-5.6-sol,B,210,0.103,0.0034,0.0378,9,0.1064,0.0022
openai/gpt-5.6-sol,B,all,0.1143,0.004,0.0418,36,0.1183,0.0123
openai/gpt-5.6-sol,C1,120,0.0855,0.0101,0.2767,15,0.0956,0.1968
openai/gpt-5.6-sol,C1,150,0.1061,-0.0113,0.2321,15,0.0948,0.1057
openai/gpt-5.6-sol,C1,180,0.0695,0.0085,0.2147,15,0.078,0.1144
openai/gpt-5.6-sol,C1,210,0.1409,0.0439,0.1664,11,0.1848,0.0624
openai/gpt-5.6-sol,C1,all,0.0977,0.0106,0.2265,56,0.1082,0.1239
openai/gpt-5.6-sol,C2,120,0.0996,0.0305,0.2385,42,0.1302,0.1294
openai/gpt-5.6-sol,C2,150,0.0877,0.0486,0.2245,42,0.1363,0.0883
openai/gpt-5.6-sol,C2,180,0.1054,0.0249,0.202,42,0.1303,0.102
openai/gpt-5.6-sol,C2,210,0.1171,0.0188,0.0804,46,0.1359,0.0328
openai/gpt-5.6-sol,C2,all,0.1028,0.0304,0.1839,172,0.1332,0.0869
openai/gpt-5.6-sol,D,120,0.0945,-0.0277,0.0661,25,0.0667,0.0645
openai/gpt-5.6-sol,D,150,0.0769,0.0314,0.0755,25,0.1083,0.0523
openai/gpt-5.6-sol,D,180,0.1167,0.0037,0.0636,25,0.1203,0.0991
openai/gpt-5.6-sol,D,210,0.0948,0.0044,0.0496,25,0.0992,0.0553
openai/gpt-5.6-sol,D,all,0.0957,0.0029,0.0637,100,0.0986,0.0678
openai/gpt-5.5,A,120,0.0483,0.0237,0.0411,9,0.0719,0.0167
openai/gpt-5.5,A,150,0.1637,-0.0058,0.0433,9,0.1579,0.0039
openai/gpt-5.5,A,180,0.0392,0.0039,0.0356,9,0.0432,0.0103
openai/gpt-5.5,A,210,0.1017,0.0069,0.0278,9,0.1086,0.0042
openai/gpt-5.5,A,all,0.0882,0.0072,0.0369,36,0.0954,0.0088
openai/gpt-5.5,B,120,0.025,0.0069,0.0578,9,0.0318,0.0157
openai/gpt-5.5,B,150,0.212,-0.0296,0.0356,9,0.1824,0.0071
openai/gpt-5.5,B,180,0.1658,0.0263,0.05,9,0.1921,0.0241
openai/gpt-5.5,B,210,0.0802,-0.0025,0.0411,9,0.0777,0.0022
openai/gpt-5.5,B,all,0.1207,0.0003,0.0461,36,0.121,0.0123
openai/gpt-5.5,C1,120,0.118,-0.0472,0.3167,15,0.0708,0.1968
openai/gpt-5.5,C1,150,0.1106,-0.023,0.278,15,0.0876,0.1057
openai/gpt-5.5,C1,180,0.0567,-0.0043,0.2613,15,0.0524,0.1144
openai/gpt-5.5,C1,210,0.1076,0.0296,0.2,11,0.1373,0.0624
openai/gpt-5.5,C1,all,0.0976,-0.0141,0.2686,56,0.0834,0.1239
openai/gpt-5.5,C2,120,0.0924,0.036,0.304,42,0.1285,0.1294
openai/gpt-5.5,C2,150,0.073,0.0463,0.2748,42,0.1194,0.0883
openai/gpt-5.5,C2,180,0.0897,0.029,0.2486,42,0.1187,0.102
openai/gpt-5.5,C2,210,0.0957,0.029,0.108,46,0.1248,0.0328
openai/gpt-5.5,C2,all,0.0879,0.035,0.2309,172,0.1229,0.0869
openai/gpt-5.5,D,120,0.0976,-0.0215,0.0806,25,0.0761,0.0645
openai/gpt-5.5,D,150,0.0844,0.0278,0.078,25,0.1122,0.0523
openai/gpt-5.5,D,180,0.1232,0.0155,0.0712,25,0.1387,0.0991
openai/gpt-5.5,D,210,0.0814,0.0194,0.064,25,0.1009,0.0553
openai/gpt-5.5,D,all,0.0966,0.0103,0.0735,100,0.107,0.0678
google/gemini-3.7-flash,A,120,0.0539,0.0233,0.0456,9,0.0772,0.0167
google/gemini-3.7-flash,A,150,0.2229,-0.0084,0.0289,9,0.2145,0.0039
google/gemini-3.7-flash,A,180,0.0816,-0.012,0.0289,9,0.0697,0.0103
google/gemini-3.7-flash,A,210,0.0744,-0.004,0.0178,9,0.0705,0.0042
google/gemini-3.7-flash,A,all,0.1082,-0.0003,0.0303,36,0.108,0.0088
google/gemini-3.7-flash,B,120,0.0431,0.0168,0.06,9,0.0599,0.0157
google/gemini-3.7-flash,B,150,0.1122,-0.0146,0.0383,9,0.0976,0.0071
google/gemini-3.7-flash,B,180,0.1148,0.0246,0.0578,9,0.1394,0.0241
google/gemini-3.7-flash,B,210,0.1243,-0.0072,0.0389,9,0.1171,0.0022
google/gemini-3.7-flash,B,all,0.0986,0.0049,0.0488,36,0.1035,0.0123
google/gemini-3.7-flash,C1,120,0.155,-0.0741,0.41,15,0.0809,0.1968
google/gemini-3.7-flash,C1,150,0.1702,-0.0398,0.33,15,0.1303,0.1057
google/gemini-3.7-flash,C1,180,0.1568,-0.0688,0.344,15,0.088,0.1144
google/gemini-3.7-flash,C1,210,0.1156,0.0089,0.3109,11,0.1245,0.0624
google/gemini-3.7-flash,C1,all,0.1518,-0.0472,0.3514,56,0.1046,0.1239
google/gemini-3.7-flash,C2,120,0.1447,0.0182,0.3608,42,0.1629,0.1294
google/gemini-3.7-flash,C2,150,0.12,0.0074,0.2602,42,0.1274,0.0883
google/gemini-3.7-flash,C2,180,0.174,-0.0087,0.2712,42,0.1653,0.102
google/gemini-3.7-flash,C2,210,0.101,0.0066,0.0996,46,0.1077,0.0328
google/gemini-3.7-flash,C2,all,0.1341,0.0059,0.2445,172,0.1401,0.0869
google/gemini-3.7-flash,D,120,0.1116,-0.0163,0.0716,25,0.0953,0.0645
google/gemini-3.7-flash,D,150,0.0846,0.0275,0.0996,25,0.1121,0.0523
google/gemini-3.7-flash,D,180,0.1193,0.0045,0.0776,25,0.1238,0.0991
google/gemini-3.7-flash,D,210,0.0654,0.0092,0.0612,25,0.0746,0.0553
google/gemini-3.7-flash,D,all,0.0952,0.0062,0.0775,100,0.1014,0.0678
openai/gpt-5.6-luna,A,120,0.0862,0.0229,0.0356,9,0.1091,0.0167
openai/gpt-5.6-luna,A,150,0.1649,0.001,0.0467,9,0.1659,0.0039
openai/gpt-5.6-luna,A,180,0.0976,-0.0018,0.0344,9,0.0959,0.0103
openai/gpt-5.6-luna,A,210,0.1354,-0.0076,0.0344,9,0.1278,0.0042
openai/gpt-5.6-luna,A,all,0.1211,0.0036,0.0378,36,0.1247,0.0088
openai/gpt-5.6-luna,B,120,0.0304,-0.002,0.0583,9,0.0285,0.0157
openai/gpt-5.6-luna,B,150,0.166,-0.0263,0.0489,9,0.1396,0.0071
openai/gpt-5.6-luna,B,180,0.1906,0.0128,0.0567,9,0.2034,0.0241
openai/gpt-5.6-luna,B,210,0.0413,-0.0143,0.0689,9,0.0271,0.0022
openai/gpt-5.6-luna,B,all,0.1071,-0.0075,0.0582,36,0.0996,0.0123
openai/gpt-5.6-luna,C1,120,0.1551,-0.1025,0.316,15,0.0526,0.1968
openai/gpt-5.6-luna,C1,150,0.1342,-0.0394,0.2563,15,0.0948,0.1057
openai/gpt-5.6-luna,C1,180,0.0952,-0.0372,0.2297,15,0.058,0.1144
openai/gpt-5.6-luna,C1,210,0.1172,0.0152,0.1945,11,0.1324,0.0624
openai/gpt-5.6-luna,C1,all,0.126,-0.045,0.253,56,0.081,0.1239
openai/gpt-5.6-luna,C2,120,0.1182,0.0023,0.2182,42,0.1205,0.1294
openai/gpt-5.6-luna,C2,150,0.0947,0.0117,0.1874,42,0.1064,0.0883
openai/gpt-5.6-luna,C2,180,0.0959,0.001,0.1889,42,0.097,0.102
openai/gpt-5.6-luna,C2,210,0.121,0.0105,0.0667,46,0.1315,0.0328
openai/gpt-5.6-luna,C2,all,0.1078,0.0065,0.163,172,0.1143,0.0869
openai/gpt-5.6-luna,D,120,0.0786,-0.0099,0.0648,25,0.0686,0.0645
openai/gpt-5.6-luna,D,150,0.0817,0.0135,0.0748,25,0.0952,0.0523
openai/gpt-5.6-luna,D,180,0.0943,0.011,0.0716,25,0.1053,0.0991
openai/gpt-5.6-luna,D,210,0.0863,0.0106,0.0616,25,0.0969,0.0553
openai/gpt-5.6-luna,D,all,0.0852,0.0063,0.0682,100,0.0915,0.0678
anthropic/claude-sonnet-5,A,120,0.1416,0.0453,0.0389,9,0.1869,0.0167
anthropic/claude-sonnet-5,A,150,0.2059,0.0058,0.0311,9,0.2117,0.0039
anthropic/claude-sonnet-5,A,180,0.1301,-0.0045,0.0078,9,0.1257,0.0103
anthropic/claude-sonnet-5,A,210,0.1266,0.0002,0.0089,9,0.1268,0.0042
anthropic/claude-sonnet-5,A,all,0.1511,0.0117,0.0217,36,0.1628,0.0088
anthropic/claude-sonnet-5,B,120,0.0491,0.0217,0.0567,9,0.0707,0.0157
anthropic/claude-sonnet-5,B,150,0.1472,-0.0129,0.0344,9,0.1343,0.0071
anthropic/claude-sonnet-5,B,180,0.2486,0.0147,0.0467,9,0.2633,0.0241
anthropic/claude-sonnet-5,B,210,0.0618,0.0132,0.0544,9,0.075,0.0022
anthropic/claude-sonnet-5,B,all,0.1267,0.0092,0.0481,36,0.1358,0.0123
anthropic/claude-sonnet-5,C1,120,0.1512,-0.1252,0.2627,15,0.026,0.1968
anthropic/claude-sonnet-5,C1,150,0.1177,-0.079,0.1927,15,0.0387,0.1057
anthropic/claude-sonnet-5,C1,180,0.1058,-0.0468,0.2367,15,0.059,0.1144
anthropic/claude-sonnet-5,C1,210,0.1074,-0.0041,0.1618,11,0.1033,0.0624
anthropic/claude-sonnet-5,C1,all,0.1215,-0.0681,0.2171,56,0.0534,0.1239
anthropic/claude-sonnet-5,C2,120,0.0981,0.0098,0.2733,42,0.1079,0.1294
anthropic/claude-sonnet-5,C2,150,0.0825,0.0011,0.2345,42,0.0835,0.0883
anthropic/claude-sonnet-5,C2,180,0.0693,-0.0112,0.2379,42,0.0581,0.102
anthropic/claude-sonnet-5,C2,210,0.0518,0.0077,0.1102,46,0.0595,0.0328
anthropic/claude-sonnet-5,C2,all,0.0749,0.002,0.2116,172,0.0769,0.0869
anthropic/claude-sonnet-5,D,120,0.1072,-0.0024,0.044,25,0.1047,0.0645
anthropic/claude-sonnet-5,D,150,0.1438,0.0382,0.0624,25,0.182,0.0523
anthropic/claude-sonnet-5,D,180,0.1662,0.0272,0.0744,25,0.1934,0.0991
anthropic/claude-sonnet-5,D,210,0.2013,0.0172,0.0416,25,0.2185,0.0553
anthropic/claude-sonnet-5,D,all,0.1546,0.0201,0.0556,100,0.1747,0.0678
deepseek/deepseek-v4-flash-0731,A,120,0.084,0.0102,0.0756,9,0.0943,0.0167
deepseek/deepseek-v4-flash-0731,A,150,0.2728,-0.0277,0.0878,9,0.245,0.0039
deepseek/deepseek-v4-flash-0731,A,180,0.0538,0.0353,0.1244,9,0.0891,0.0103
deepseek/deepseek-v4-flash-0731,A,210,0.1268,0.0085,0.0756,9,0.1352,0.0042
deepseek/deepseek-v4-flash-0731,A,all,0.1343,0.0066,0.0908,36,0.1409,0.0088
deepseek/deepseek-v4-flash-0731,B,120,0.0485,0.0443,0.1211,9,0.0928,0.0157
deepseek/deepseek-v4-flash-0731,B,150,0.171,-0.0055,0.08,9,0.1656,0.0071
deepseek/deepseek-v4-flash-0731,B,180,0.2015,0.0487,0.0989,9,0.2502,0.0241
deepseek/deepseek-v4-flash-0731,B,210,0.0622,-0.0049,0.0922,9,0.0573,0.0022
deepseek/deepseek-v4-flash-0731,B,all,0.1208,0.0206,0.0981,36,0.1415,0.0123
deepseek/deepseek-v4-flash-0731,C1,120,0.1601,-0.0845,0.395,14,0.0756,0.2011
deepseek/deepseek-v4-flash-0731,C1,150,0.1636,-0.0972,0.3273,15,0.0664,0.1057
deepseek/deepseek-v4-flash-0731,C1,180,0.1629,-0.0831,0.3653,15,0.0798,0.1144
deepseek/deepseek-v4-flash-0731,C1,210,0.1241,0.0026,0.2745,11,0.1267,0.0624
deepseek/deepseek-v4-flash-0731,C1,all,0.1546,-0.0701,0.3443,55,0.0845,0.1237
deepseek/deepseek-v4-flash-0731,C2,120,0.1232,0.0072,0.338,42,0.1305,0.1294
deepseek/deepseek-v4-flash-0731,C2,150,0.1216,0.0009,0.355,42,0.1225,0.0883
deepseek/deepseek-v4-flash-0731,C2,180,0.1125,0.0048,0.3297,40,0.1173,0.1043
deepseek/deepseek-v4-flash-0731,C2,210,0.1214,0.0407,0.1476,46,0.1621,0.0328
deepseek/deepseek-v4-flash-0731,C2,all,0.1198,0.0141,0.2887,170,0.1339,0.0872
deepseek/deepseek-v4-flash-0731,D,120,0.1066,-0.0232,0.0984,25,0.0834,0.0645
deepseek/deepseek-v4-flash-0731,D,150,0.1079,0.0195,0.0912,25,0.1274,0.0523
deepseek/deepseek-v4-flash-0731,D,180,0.1244,0.0164,0.13,25,0.1408,0.0991
deepseek/deepseek-v4-flash-0731,D,210,0.117,0.0179,0.0944,25,0.1349,0.0553
deepseek/deepseek-v4-flash-0731,D,all,0.114,0.0076,0.1035,100,0.1216,0.0678
google/gemini-3-flash-preview,A,120,0.0558,0.0323,0.0833,9,0.0881,0.0167
google/gemini-3-flash-preview,A,150,0.1437,-0.0152,0.0622,9,0.1286,0.0039
google/gemini-3-flash-preview,A,180,0.0716,-0.0073,0.0622,9,0.0643,0.0103
google/gemini-3-flash-preview,A,210,0.0593,-0.0039,0.0389,9,0.0554,0.0042
google/gemini-3-flash-preview,A,all,0.0826,0.0015,0.0617,36,0.0841,0.0088
google/gemini-3-flash-preview,B,120,0.0946,-0.0042,0.1078,9,0.0904,0.0157
google/gemini-3-flash-preview,B,150,0.2162,-0.0633,0.0889,9,0.1529,0.0071
google/gemini-3-flash-preview,B,180,0.1456,0.021,0.0989,9,0.1667,0.0241
google/gemini-3-flash-preview,B,210,0.0941,-0.0271,0.06,9,0.0669,0.0022
google/gemini-3-flash-preview,B,all,0.1376,-0.0184,0.0889,36,0.1192,0.0123
google/gemini-3-flash-preview,C1,120,0.19,-0.107,0.3647,15,0.083,0.1968
google/gemini-3-flash-preview,C1,150,0.1586,-0.0542,0.35,15,0.1043,0.1057
google/gemini-3-flash-preview,C1,180,0.1294,-0.0635,0.3087,15,0.0659,0.1144
google/gemini-3-flash-preview,C1,210,0.1204,0.0172,0.2364,11,0.1376,0.0624
google/gemini-3-flash-preview,C1,all,0.1517,-0.0568,0.3205,56,0.0949,0.1239
google/gemini-3-flash-preview,C2,120,0.1537,-0.0035,0.319,42,0.1502,0.1294
google/gemini-3-flash-preview,C2,150,0.0969,0.0229,0.3081,42,0.1198,0.0883
google/gemini-3-flash-preview,C2,180,0.1401,-0.0302,0.285,42,0.1099,0.102
google/gemini-3-flash-preview,C2,210,0.0801,0.0067,0.1439,46,0.0868,0.0328
google/gemini-3-flash-preview,C2,all,0.1168,-0.0008,0.2612,172,0.116,0.0869
google/gemini-3-flash-preview,D,120,0.0944,-0.0276,0.1348,25,0.0668,0.0645
google/gemini-3-flash-preview,D,150,0.0754,0.0151,0.1504,25,0.0905,0.0523
google/gemini-3-flash-preview,D,180,0.1079,0.0142,0.1296,25,0.1221,0.0991
google/gemini-3-flash-preview,D,210,0.0826,0.0042,0.108,25,0.0868,0.0553
google/gemini-3-flash-preview,D,all,0.0901,0.0015,0.1307,100,0.0915,0.0678
openai/gpt-5,A,120,0.0778,0.0217,0.0389,9,0.0995,0.0167
openai/gpt-5,A,150,0.1897,-0.0086,0.0367,9,0.1811,0.0039
openai/gpt-5,A,180,0.0895,-0.0021,0.0311,9,0.0875,0.0103
openai/gpt-5,A,210,0.1356,-0.0061,0.0267,9,0.1296,0.0042
openai/gpt-5,A,all,0.1232,0.0012,0.0333,36,0.1244,0.0088
openai/gpt-5,B,120,0.0436,0.0108,0.0578,9,0.0544,0.0157
openai/gpt-5,B,150,0.1773,-0.027,0.0478,9,0.1503,0.0071
openai/gpt-5,B,180,0.1934,0.0113,0.0456,9,0.2048,0.0241
openai/gpt-5,B,210,0.1357,-0.0026,0.0444,9,0.1331,0.0022
openai/gpt-5,B,all,0.1375,-0.0019,0.0489,36,0.1357,0.0123
openai/gpt-5,C1,120,0.1391,-0.0685,0.2173,15,0.0707,0.1968
openai/gpt-5,C1,150,0.1336,-0.0523,0.17,15,0.0814,0.1057
openai/gpt-5,C1,180,0.087,-0.03,0.1773,15,0.057,0.1144
openai/gpt-5,C1,210,0.1455,0.0052,0.1309,11,0.1507,0.0624
openai/gpt-5,C1,all,0.1249,-0.0393,0.177,56,0.0856,0.1239
openai/gpt-5,C2,120,0.1166,-0.008,0.2269,42,0.1086,0.1294
openai/gpt-5,C2,150,0.0863,0.0333,0.2093,42,0.1195,0.0883
openai/gpt-5,C2,180,0.103,0.0039,0.1888,42,0.1069,0.102
openai/gpt-5,C2,210,0.0948,0.0125,0.0748,46,0.1072,0.0328
openai/gpt-5,C2,all,0.1,0.0104,0.1726,172,0.1105,0.0869
openai/gpt-5,D,120,0.0751,-0.0109,0.0708,25,0.0643,0.0645
openai/gpt-5,D,150,0.0824,0.0078,0.0676,25,0.0902,0.0523
openai/gpt-5,D,180,0.1084,0.0076,0.0676,25,0.1161,0.0991
openai/gpt-5,D,210,0.0915,0.0022,0.0476,25,0.0938,0.0553
openai/gpt-5,D,all,0.0894,0.0017,0.0634,100,0.0911,0.0678
openai/o3,A,120,0.0904,-0.0144,0.0467,9,0.0761,0.0167
openai/o3,A,150,0.1635,-0.0173,0.0789,9,0.1462,0.0039
openai/o3,A,180,0.0887,0.0025,0.0567,9,0.0912,0.0103
openai/o3,A,210,0.1071,-0.007,0.0189,9,0.1002,0.0042
openai/o3,A,all,0.1124,-0.009,0.0503,36,0.1034,0.0088
openai/o3,B,120,0.0241,0.0123,0.0678,9,0.0364,0.0157
openai/o3,B,150,0.1432,-0.0221,0.0378,9,0.121,0.0071
openai/o3,B,180,0.2012,0.0213,0.0444,9,0.2225,0.0241
openai/o3,B,210,0.1053,-0.0022,0.0467,9,0.1032,0.0022
openai/o3,B,all,0.1184,0.0023,0.0492,36,0.1208,0.0123
openai/o3,C1,120,0.0665,-0.0049,0.2253,15,0.0616,0.1968
openai/o3,C1,150,0.1048,-0.0258,0.25,15,0.079,0.1057
openai/o3,C1,180,0.0616,-0.0175,0.2167,15,0.0441,0.1144
openai/o3,C1,210,0.1081,0.0118,0.1991,11,0.1199,0.0624
openai/o3,C1,all,0.0836,-0.0106,0.2245,56,0.073,0.1239
openai/o3,C2,120,0.1019,0.0058,0.2521,42,0.1078,0.1294
openai/o3,C2,150,0.07,0.0063,0.2605,42,0.0763,0.0883
openai/o3,C2,180,0.0724,0.0103,0.2217,42,0.0827,0.102
openai/o3,C2,210,0.0626,0.0265,0.1042,45,0.0891,0.0333
openai/o3,C2,all,0.0765,0.0125,0.2078,171,0.0889,0.0873
openai/o3,D,120,0.0699,-0.0223,0.0844,25,0.0476,0.0645
openai/o3,D,150,0.0768,0.0047,0.0784,25,0.0814,0.0523
openai/o3,D,180,0.1324,0.0608,0.1172,25,0.1932,0.0991
openai/o3,D,210,0.0973,0.0125,0.0648,25,0.1097,0.0553
openai/o3,D,all,0.0941,0.0139,0.0862,100,0.108,0.0678
openai/gpt-5.4-nano,A,120,0.1262,0.0302,0.0478,9,0.1564,0.0167
openai/gpt-5.4-nano,A,150,0.205,-0.0036,0.0689,9,0.2014,0.0039
openai/gpt-5.4-nano,A,180,0.0974,0.0112,0.0556,9,0.1086,0.0103
openai/gpt-5.4-nano,A,210,0.143,0.0146,0.0478,9,0.1576,0.0042
openai/gpt-5.4-nano,A,all,0.1429,0.0131,0.055,36,0.156,0.0088
openai/gpt-5.4-nano,B,120,0.0352,0.0127,0.0911,9,0.0479,0.0157
openai/gpt-5.4-nano,B,150,0.1141,0.0005,0.0689,9,0.1145,0.0071
openai/gpt-5.4-nano,B,180,0.2221,0.0232,0.0783,9,0.2454,0.0241
openai/gpt-5.4-nano,B,210,0.0411,0.0169,0.0611,9,0.058,0.0022
openai/gpt-5.4-nano,B,all,0.1031,0.0133,0.0749,36,0.1165,0.0123
openai/gpt-5.4-nano,C1,120,0.1642,-0.1194,0.3379,15,0.0447,0.1968
openai/gpt-5.4-nano,C1,150,0.1433,-0.0867,0.344,15,0.0566,0.1057
openai/gpt-5.4-nano,C1,180,0.0804,-0.0361,0.3616,15,0.0444,0.1144
openai/gpt-5.4-nano,C1,210,0.1171,-0.0357,0.3108,11,0.0814,0.0624
openai/gpt-5.4-nano,C1,all,0.1269,-0.0719,0.3406,56,0.055,0.1239
openai/gpt-5.4-nano,C2,120,0.1302,-0.0346,0.3099,42,0.0956,0.1294
openai/gpt-5.4-nano,C2,150,0.1145,-0.0178,0.27,42,0.0967,0.0883
openai/gpt-5.4-nano,C2,180,0.0834,-0.005,0.2807,42,0.0785,0.102
openai/gpt-5.4-nano,C2,210,0.1031,0.0108,0.1399,46,0.1139,0.0328
openai/gpt-5.4-nano,C2,all,0.1077,-0.0111,0.2476,172,0.0966,0.0869
openai/gpt-5.4-nano,D,120,0.08,-0.0139,0.09,25,0.0661,0.0645
openai/gpt-5.4-nano,D,150,0.092,0.0339,0.0864,25,0.1259,0.0523
openai/gpt-5.4-nano,D,180,0.1292,0.0363,0.1064,25,0.1655,0.0991
openai/gpt-5.4-nano,D,210,0.1158,0.0296,0.0876,25,0.1454,0.0553
openai/gpt-5.4-nano,D,all,0.1042,0.0215,0.0926,100,0.1257,0.0678
openai/o4-mini,A,120,0.2246,0.0109,0.01,9,0.2355,0.0167
openai/o4-mini,A,150,0.2083,0.0012,0.0389,9,0.2095,0.0039
openai/o4-mini,A,180,0.0466,0.0023,0.0333,9,0.049,0.0103
openai/o4-mini,A,210,0.152,0.0086,0.0244,9,0.1606,0.0042
openai/o4-mini,A,all,0.1579,0.0058,0.0267,36,0.1636,0.0088
openai/o4-mini,B,120,0.0636,0.0344,0.0767,9,0.098,0.0157
openai/o4-mini,B,150,0.1676,-0.0097,0.0383,9,0.1579,0.0071
openai/o4-mini,B,180,0.2831,0.0097,0.0406,9,0.2927,0.0241
openai/o4-mini,B,210,0.0832,0.0087,0.0556,9,0.0919,0.0022
openai/o4-mini,B,all,0.1494,0.0108,0.0528,36,0.1601,0.0123
openai/o4-mini,C1,120,0.1595,-0.0648,0.4013,15,0.0947,0.1968
openai/o4-mini,C1,150,0.1348,-0.0156,0.2413,15,0.1192,0.1057
openai/o4-mini,C1,180,0.0996,0.0078,0.2347,15,0.1074,0.1144
openai/o4-mini,C1,210,0.2085,0.004,0.26,11,0.2125,0.0624
openai/o4-mini,C1,all,0.1465,-0.0186,0.2861,56,0.1278,0.1239
openai/o4-mini,C2,120,0.1599,-0.0081,0.2364,42,0.1517,0.1294
