model,band,n,q,p
qwen/qwen3-235b-a22b,4,67,0.452,0.2912
qwen/qwen3-235b-a22b,5,83,0.54,0.3457
qwen/qwen3-235b-a22b,6,60,0.6255,0.3367
qwen/qwen3-235b-a22b,7,90,0.7356,0.3383
qwen/qwen3-235b-a22b,8,48,0.8099,0.3438
qwen/qwen3-235b-a22b,9,102,0.9132,0.3541
qwen/qwen3.5-flash-02-23,0,96,0.0863,0.3759
qwen/qwen3.5-flash-02-23,1,54,0.1849,0.3298
qwen/qwen3.5-flash-02-23,2,83,0.2713,0.3852
qwen/qwen3.5-flash-02-23,3,67,0.3645,0.4224
qwen/qwen3.5-flash-02-23,4,67,0.452,0.3715
qwen/qwen3.5-flash-02-23,5,83,0.54,0.4452
qwen/qwen3.5-flash-02-23,6,60,0.6255,0.4653
qwen/qwen3.5-flash-02-23,7,90,0.7356,0.4622
qwen/qwen3.5-flash-02-23,8,48,0.8099,0.5081
qwen/qwen3.5-flash-02-23,9,102,0.9132,0.4936
