model,metric,horizon,nforecasts,nvalid,CRPS,nCRPS_global,excess_nCRPS_global,excess_CRPS_over_IQR
anthropic/claude-fable-5,P3_civ_founds,T210,6,6,8.151666666666666,0.40758333333333324,0.26913666666666664,0.6078126767676767
anthropic/claude-fable-5,P3_civ_founds,all,31,31,8.557703225806453,0.4278851612903226,0.31549741935483877,1.1052380519480518
anthropic/claude-fable-5,P5_techs_at_T,T90,6,6,6.8128,0.7569777777777779,0.6615851851851852,2.416588888888889
anthropic/claude-fable-5,P5_techs_at_T,T120,6,6,11.479033333333334,1.275448148148148,1.1166740740740744,2.948977777777778
anthropic/claude-fable-5,P5_techs_at_T,T150,6,6,13.062200000000004,1.451355555555556,1.301444444444445,3.509700000000001
anthropic/claude-fable-5,P5_techs_at_T,T180,6,6,17.316099999999995,1.9240111111111107,1.7518888888888886,3.9412522222222215
anthropic/claude-fable-5,P5_techs_at_T,T210,7,7,15.281885714285716,1.6979873015873017,1.5141142857142855,3.126217142857143
anthropic/claude-fable-5,P5_techs_at_T,all,31,31,12.87077419354839,1.4300860215053763,1.2770437275985662,3.186536559139785
anthropic/claude-fable-5,P6_world_techs,T90,6,6,37.96233333333333,1.8981166666666667,1.7849133333333338,5.805473015873016
anthropic/claude-fable-5,P6_world_techs,T120,6,6,76.85449999999999,3.8427249999999997,3.6561866666666667,7.502598816998816
anthropic/claude-fable-5,P6_world_techs,T150,3,3,74.99433333333336,3.749716666666668,3.534873333333334,5.955222393162394
anthropic/claude-fable-5,P6_world_techs,T180,3,3,72.94893333333333,3.6474466666666667,3.39502,4.881723597883597
anthropic/claude-fable-5,P6_world_techs,T210,2,2,94.05750000000002,4.702875000000001,4.3865300000000005,5.316827205882355
anthropic/claude-fable-5,P6_world_techs,all,20,20,66.04229000000001,3.3021145000000005,3.110467,6.149646169106684
anthropic/claude-fable-5,S7_world_razings,T90,6,6,3.5672333333333337,0.17836166666666667,0.11116666666666668,0.6566222222222222
anthropic/claude-fable-5,S7_world_razings,T120,6,6,7.566566666666669,0.37832833333333343,0.26562000000000013,0.8454987301587303
anthropic/claude-fable-5,S7_world_razings,T150,7,7,12.333942857142858,0.616697142857143,0.4818685714285715,1.2787307029478459
anthropic/claude-fable-5,S7_world_razings,T180,7,7,15.26517142857143,0.7632585714285715,0.6063342857142857,1.378582574002574
anthropic/claude-fable-5,S7_world_razings,T210,7,7,18.07548571428572,0.9037742857142858,0.7270685714285715,1.4934113419913422
anthropic/claude-fable-5,S7_world_razings,all,33,33,11.71287878787879,0.5856439393939394,0.4535642424242425,1.1535696377841838
anthropic/claude-fable-5,all,T90,60,60,,0.3885966793650793,0.319279528042328,1.2906493574431577
anthropic/claude-fable-5,all,T120,60,60,,0.78060051005291,0.655155728042328,1.6899476716192054
anthropic/claude-fable-5,all,T150,60,60,,0.7598874619047622,0.6093928634920636,1.4219131758774914
anthropic/claude-fable-5,all,T180,60,60,,0.9495965841269841,0.7582840158730159,1.464362637006166
anthropic/claude-fable-5,all,T210,60,60,,1.0793532645502646,0.8646876222222221,1.4710427880068289
anthropic/claude-fable-5,all,all,300,300,,0.7916069,0.6413599515343916,1.4675831259905698
anthropic/claude-opus-5,NC14_world_wonders,T90,6,6,0.6636333333333339,0.16590833333333346,0.08961666666666684,0.3584666666666674
anthropic/claude-opus-5,NC14_world_wonders,T120,6,6,2.1190333333333338,0.5297583333333334,0.42170000000000013,1.5010666666666672
anthropic/claude-opus-5,NC14_world_wonders,T150,6,6,5.618966666666669,1.4047416666666672,1.2479500000000006,3.3401222222222233
anthropic/claude-opus-5,NC14_world_wonders,T180,7,7,8.648771428571429,2.1621928571428572,1.9339285714285717,3.1867619047619056
anthropic/claude-opus-5,NC14_world_wonders,T210,6,6,11.549733333333334,2.8874333333333335,2.5974166666666667,3.805227777777777
anthropic/claude-opus-5,NC14_world_wonders,all,31,31,5.814503225806451,1.4536258064516128,1.2799225806451615,2.462472043010753
anthropic/claude-opus-5,NC1_value_at_T,T90,12,12,18.871383333333334,0.23731053174603178,0.17714790476190478,1.1534246388275071
anthropic/claude-opus-5,NC1_value_at_T,T120,12,12,30.313750000000002,0.34650103968253965,0.23235899999999998,0.8684555188803437
anthropic/claude-opus-5,NC1_value_at_T,T150,12,12,29.182083333333335,0.3275436428571428,0.17788520634920635,0.44663974173154436
anthropic/claude-opus-5,NC1_value_at_T,T180,12,12,30.665583333333334,0.3444538333333334,0.1645072698412699,0.411918751075061
anthropic/claude-opus-5,NC1_value_at_T,T210,12,12,46.98223333333333,0.4706446111111111,0.25240849206349203,0.4688468640991215
anthropic/claude-opus-5,NC1_value_at_T,all,60,60,31.20300666666667,0.34529073174603175,0.20086157460317464,0.6698571029227155
anthropic/claude-opus-5,NC5_world_captures,T90,6,6,4.557300000000001,0.09114600000000002,0.049804000000000015,0.4304311111111112
anthropic/claude-opus-5,NC5_world_captures,T120,6,6,22.154666666666667,0.44309333333333334,0.346072,1.3388351571559118
anthropic/claude-opus-5,NC5_world_captures,T150,7,7,39.341,0.7868200000000002,0.6394960000000001,1.5692012685959205
anthropic/claude-opus-5,NC5_world_captures,T180,6,6,48.12010000000001,0.962402,0.7908066666666667,1.6096546732016854
anthropic/claude-opus-5,NC5_world_captures,T210,7,7,62.1828,1.243656,1.0316582857142857,1.6420060428440144
anthropic/claude-opus-5,NC5_world_captures,all,32,32,36.23934375,0.7247868749999999,0.588068,1.3359992759028687
anthropic/claude-opus-5,P1_civ_conquests,T90,6,6,0.8268999999999999,0.08268999999999999,0.03304666666666668,0.24996666666666675
anthropic/claude-opus-5,P1_civ_conquests,T120,6,6,2.5049,0.25049000000000005,0.13692000000000001,0.4332
anthropic/claude-opus-5,P1_civ_conquests,T150,7,7,3.2373428571428566,0.3237342857142857,0.17673142857142854,0.42493238095238084
anthropic/claude-opus-5,P1_civ_conquests,T180,6,6,3.8320000000000003,0.3832,0.21009999999999998,0.4524033333333333
anthropic/claude-opus-5,P1_civ_conquests,T210,6,6,4.772233333333334,0.4772233333333334,0.27878666666666674,0.5122911111111113
anthropic/claude-opus-5,P1_civ_conquests,all,31,31,3.041212903225807,0.3041212903225807,0.16742709677419357,0.41489333333333345
anthropic/claude-opus-5,P2_civ_losses,T90,6,6,0.9946666666666665,0.09946666666666665,0.02341999999999998,0.10364444444444447
anthropic/claude-opus-5,P2_civ_losses,T120,6,6,3.3160000000000003,0.3316,0.16987333333333332,0.38411999999999996
anthropic/claude-opus-5,P2_civ_losses,T150,6,6,3.642566666666667,0.36425666666666673,0.2044066666666667,0.41165238095238094
anthropic/claude-opus-5,P2_civ_losses,T180,6,6,9.456033333333336,0.9456033333333335,0.6545400000000001,0.7521495238095238
anthropic/claude-opus-5,P2_civ_losses,T210,7,7,7.698771428571431,0.7698771428571429,0.5043085714285714,0.6416549000206144
anthropic/claude-opus-5,P2_civ_losses,all,31,31,5.107967741935485,0.5107967741935485,0.31753548387096775,0.4645478192058837
anthropic/claude-opus-5,P3_civ_founds,T90,6,6,6.506566666666668,0.3253283333333334,0.2715966666666667,1.6752288888888893
anthropic/claude-opus-5,P3_civ_founds,T120,6,6,7.889933333333334,0.3944966666666668,0.3067300000000001,1.4173404761904767
anthropic/claude-opus-5,P3_civ_founds,T150,6,6,9.147666666666668,0.4573833333333335,0.32641000000000014,0.839036613756614
anthropic/claude-opus-5,P3_civ_founds,T180,7,7,9.635914285714287,0.4817957142857144,0.3362942857142857,0.910121263656978
anthropic/claude-opus-5,P3_civ_founds,T210,6,6,7.718733333333334,0.38593666666666665,0.24749,0.5777732323232324
anthropic/claude-opus-5,P3_civ_founds,all,31,31,8.22673548387097,0.41133677419354847,0.2989490322580645,1.0782943262114233
anthropic/claude-opus-5,P5_techs_at_T,T90,6,6,5.984333333333333,0.6649259259259258,0.5695333333333332,2.0921888888888884
anthropic/claude-opus-5,P5_techs_at_T,T120,6,6,9.724100000000002,1.0804555555555557,0.9216814814814817,2.473577777777778
anthropic/claude-opus-5,P5_techs_at_T,T150,6,6,11.001399999999999,1.2223777777777778,1.072466666666667,2.8118944444444445
anthropic/claude-opus-5,P5_techs_at_T,T180,6,6,11.3939,1.2659888888888888,1.0938666666666668,2.5175133333333335
anthropic/claude-opus-5,P5_techs_at_T,T210,7,7,10.169485714285715,1.1299428571428574,0.9460698412698415,2.051057142857143
anthropic/claude-opus-5,P5_techs_at_T,all,31,31,9.671251612903227,1.0745835125448029,0.921541218637993,2.3783369892473116
anthropic/claude-opus-5,P6_world_techs,T90,6,6,33.636,1.6818000000000002,1.5685966666666669,5.06925873015873
anthropic/claude-opus-5,P6_world_techs,T120,6,6,68.0345,3.4017249999999994,3.215186666666666,6.634691819091817
anthropic/claude-opus-5,P6_world_techs,T150,3,3,71.361,3.568050000000001,3.3532066666666673,5.7525386324786325
anthropic/claude-opus-5,P6_world_techs,T180,3,3,69.81333333333335,3.4906666666666673,3.23824,4.829924232804234
anthropic/claude-opus-5,P6_world_techs,T210,2,2,74.0985,3.7049250000000002,3.3885800000000006,4.1311139705882365
anthropic/claude-opus-5,P6_world_techs,all,20,20,59.087149999999994,2.9543575,2.7627099999999998,5.511665991626419
anthropic/claude-opus-5,S7_world_razings,T90,6,6,3.1879000000000004,0.159395,0.09219999999999999,0.5445444444444444
anthropic/claude-opus-5,S7_world_razings,T120,6,6,6.8496999999999995,0.3424850000000001,0.2297766666666667,0.7313590476190477
anthropic/claude-opus-5,S7_world_razings,T150,7,7,11.008342857142859,0.5504171428571428,0.4155885714285715,1.104044058956916
anthropic/claude-opus-5,S7_world_razings,T180,7,7,13.377800000000002,0.6688900000000001,0.5119657142857142,1.1637960918060917
anthropic/claude-opus-5,S7_world_razings,T210,7,7,16.069599999999998,0.8034799999999999,0.6267742857142855,1.2892751515151513
anthropic/claude-opus-5,S7_world_razings,all,33,33,10.406539393939394,0.5203269696969697,0.3882472727272727,0.9865220626766081
anthropic/claude-opus-5,all,T90,60,60,,0.37452813227513226,0.305210980952381,1.2830579118924856
anthropic/claude-opus-5,all,T120,60,60,,0.7467105968253968,0.621265814814815,1.6651101982262388
anthropic/claude-opus-5,all,T150,60,60,,0.7825671730158731,0.6320725746031747,1.4786795121000822
anthropic/claude-opus-5,all,T180,60,60,,0.9856460222222222,0.7943334539682543,1.4707979619159253
anthropic/claude-opus-5,all,T210,60,60,,1.0531639555555554,0.8384983132275131,1.3771349283049519
anthropic/claude-opus-5,all,all,300,300,,0.788523175978836,0.6382762275132275,1.4549561024879367
openai/gpt-5.6-sol,NC14_world_wonders,T90,6,6,0.6025000000000004,0.1506250000000001,0.0743333333333335,0.297333333333334
openai/gpt-5.6-sol,NC14_world_wonders,T120,6,6,2.2214333333333323,0.5553583333333331,0.4473,1.6541999999999997
openai/gpt-5.6-sol,NC14_world_wonders,T150,6,6,5.721566666666667,1.4303916666666667,1.2736,3.2805111111111103
openai/gpt-5.6-sol,NC14_world_wonders,T180,7,7,9.025571428571428,2.256392857142857,2.0281285714285713,3.305561904761905
openai/gpt-5.6-sol,NC14_world_wonders,T210,6,6,12.963933333333335,3.2409833333333338,2.9509666666666674,4.452072222222223
openai/gpt-5.6-sol,NC14_world_wonders,all,31,31,6.201148387096775,1.5502870967741937,1.3765838709677423,2.6207623655913985
openai/gpt-5.6-sol,NC1_value_at_T,T90,12,12,12.429983333333334,0.11339692857142857,0.05323430158730158,0.38454406788864337
openai/gpt-5.6-sol,NC1_value_at_T,T120,12,12,23.821916666666667,0.20194170634920636,0.08779966666666666,0.3184355655142312
openai/gpt-5.6-sol,NC1_value_at_T,T150,12,12,52.85498333333334,0.4121860555555556,0.26252761904761907,0.7609058743392493
openai/gpt-5.6-sol,NC1_value_at_T,T180,12,12,61.819449999999996,0.5157969126984128,0.3358503492063492,0.7852086658549688
openai/gpt-5.6-sol,NC1_value_at_T,T210,12,12,75.886,0.6342971984126984,0.4160610793650794,0.7754802956183452
openai/gpt-5.6-sol,NC1_value_at_T,all,60,60,45.36246666666667,0.37552376031746026,0.2310946031746032,0.6049148938430875
openai/gpt-5.6-sol,NC5_world_captures,T90,6,6,3.8045666666666667,0.07609133333333334,0.03474933333333333,0.3100677777777778
openai/gpt-5.6-sol,NC5_world_captures,T120,6,6,17.299000000000003,0.34598,0.24895866666666674,0.8943095276491504
openai/gpt-5.6-sol,NC5_world_captures,T150,7,7,26.47991428571429,0.5295982857142858,0.3822742857142858,0.9412856811801761
openai/gpt-5.6-sol,NC5_world_captures,T180,6,6,27.152833333333334,0.5430566666666666,0.37146133333333337,0.7766652111298539
openai/gpt-5.6-sol,NC5_world_captures,T210,7,7,30.98034285714286,0.6196068571428572,0.40760914285714284,0.7289510843667131
openai/gpt-5.6-sol,NC5_world_captures,all,32,32,21.61750625,0.43235012500000003,0.29563125,0.7368097643177787
openai/gpt-5.6-sol,P1_civ_conquests,T90,6,6,0.6723666666666669,0.06723666666666668,0.017593333333333374,0.13376666666666698
openai/gpt-5.6-sol,P1_civ_conquests,T120,6,6,1.5611,0.15610999999999997,0.04254,0.13793333333333332
openai/gpt-5.6-sol,P1_civ_conquests,T150,7,7,2.599514285714286,0.25995142857142856,0.11294857142857141,0.31005047619047615
openai/gpt-5.6-sol,P1_civ_conquests,T180,6,6,3.7579333333333333,0.37579333333333337,0.20269333333333328,0.41187555555555555
openai/gpt-5.6-sol,P1_civ_conquests,T210,6,6,6.084500000000001,0.6084499999999999,0.41001333333333334,0.7221622222222223
openai/gpt-5.6-sol,P1_civ_conquests,all,31,31,2.9242580645161285,0.2924258064516129,0.15573161290322582,0.3420896774193548
openai/gpt-5.6-sol,P2_civ_losses,T90,6,6,0.9675333333333334,0.09675333333333332,0.02070666666666665,0.09644444444444435
openai/gpt-5.6-sol,P2_civ_losses,T120,6,6,2.1562666666666668,0.21562666666666666,0.053899999999999976,0.11555888888888884
openai/gpt-5.6-sol,P2_civ_losses,T150,6,6,2.247566666666667,0.22475666666666672,0.06490666666666671,0.1573515873015874
openai/gpt-5.6-sol,P2_civ_losses,T180,6,6,5.332033333333334,0.5332033333333334,0.24214,0.2827390476190476
openai/gpt-5.6-sol,P2_civ_losses,T210,7,7,4.348485714285714,0.4348485714285714,0.16928,0.24263597814883528
openai/gpt-5.6-sol,P2_civ_losses,all,31,31,3.0535419354838713,0.3053541935483871,0.11209290322580642,0.18100050505050508
openai/gpt-5.6-sol,P3_civ_founds,T90,6,6,4.1609,0.20804499999999995,0.15431333333333333,0.9121733333333332
openai/gpt-5.6-sol,P3_civ_founds,T120,6,6,3.5152,0.17576,0.08799333333333333,0.36733158730158727
openai/gpt-5.6-sol,P3_civ_founds,T150,6,6,3.892933333333333,0.19464666666666663,0.06367333333333332,0.18086288359788358
openai/gpt-5.6-sol,P3_civ_founds,T180,7,7,3.8600285714285723,0.1930014285714286,0.0475,0.14690423005565864
openai/gpt-5.6-sol,P3_civ_founds,T210,6,6,6.0620666666666665,0.30310333333333334,0.1646566666666667,0.46470601010101015
openai/gpt-5.6-sol,P3_civ_founds,all,31,31,4.284090322580646,0.2142045161290323,0.10181677419354838,0.40576685472233864
openai/gpt-5.6-sol,P5_techs_at_T,T90,6,6,4.4876666666666685,0.4986296296296297,0.4032370370370372,1.443666666666667
openai/gpt-5.6-sol,P5_techs_at_T,T120,6,6,6.265499999999999,0.6961666666666666,0.5373925925925926,1.4183999999999999
openai/gpt-5.6-sol,P5_techs_at_T,T150,6,6,3.2810666666666672,0.364562962962963,0.21465185185185187,0.5735055555555556
openai/gpt-5.6-sol,P5_techs_at_T,T180,6,6,4.2374333333333345,0.470825925925926,0.29870370370370375,0.7432644444444446
openai/gpt-5.6-sol,P5_techs_at_T,T210,7,7,6.640742857142858,0.7378603174603177,0.5539873015873016,1.4846419047619048
openai/gpt-5.6-sol,P5_techs_at_T,all,31,31,5.035974193548388,0.5595526881720431,0.40651039426523305,1.144048817204301
openai/gpt-5.6-sol,P6_world_techs,T90,6,6,25.57166666666667,1.2785833333333334,1.1653799999999999,3.791630158730158
openai/gpt-5.6-sol,P6_world_techs,T120,6,6,40.157966666666674,2.0078983333333333,1.8213599999999996,3.614062744562744
openai/gpt-5.6-sol,P6_world_techs,T150,3,3,32.614599999999996,1.6307299999999998,1.4158866666666665,2.2811435897435897
openai/gpt-5.6-sol,P6_world_techs,T180,3,3,29.40133333333333,1.4700666666666666,1.2176399999999998,1.7995779894179893
openai/gpt-5.6-sol,P6_world_techs,T210,2,2,24.257700000000007,1.2128850000000004,0.8965400000000003,1.0793647058823534
openai/gpt-5.6-sol,P6_world_techs,all,20,20,31.44705,1.5723524999999998,1.3807050000000003,2.9417525784503438
openai/gpt-5.6-sol,S7_world_razings,T90,6,6,2.344433333333333,0.11722166666666667,0.050026666666666636,0.2904166666666665
openai/gpt-5.6-sol,S7_world_razings,T120,6,6,3.9197666666666664,0.19598833333333335,0.08327999999999998,0.2524187301587301
openai/gpt-5.6-sol,S7_world_razings,T150,7,7,4.505485714285714,0.22527428571428573,0.09044571428571427,0.2371326984126984
openai/gpt-5.6-sol,S7_world_razings,T180,7,7,4.489285714285715,0.22446428571428576,0.06754000000000002,0.15509007293007296
openai/gpt-5.6-sol,S7_world_razings,T210,7,7,6.5724,0.32862,0.15191428571428572,0.3149210389610391
openai/gpt-5.6-sol,S7_world_razings,all,33,33,4.4410727272727275,0.22205363636363634,0.0899739393939394,0.2486975470630016
openai/gpt-5.6-sol,all,T90,60,60,,0.271997982010582,0.20268083068783074,0.8044587183396336
openai/gpt-5.6-sol,all,T120,60,60,,0.4752771746031746,0.3498323925925926,0.9091085942922896
openai/gpt-5.6-sol,all,T150,60,60,,0.5038056407407406,0.3533110423280423,0.859116167953034
openai/gpt-5.6-sol,all,T180,60,60,,0.6809008084656085,0.48958824021164027,0.889356616087341
openai/gpt-5.6-sol,all,T210,60,60,,0.8299851100529102,0.615319467724868,1.0782697621687838
openai/gpt-5.6-sol,all,all,300,300,,0.5523933431746031,0.4021463947089948,0.9080619717682165
openai/gpt-5.5,NC14_world_wonders,T90,6,6,0.633233333333334,0.1583083333333335,0.08201666666666689,0.32806666666666756
openai/gpt-5.5,NC14_world_wonders,T120,6,6,2.1740333333333326,0.5435083333333331,0.4354499999999999,1.500233333333333
openai/gpt-5.5,NC14_world_wonders,T150,6,6,5.862500000000001,1.4656250000000002,1.3088333333333335,3.4621333333333326
openai/gpt-5.5,NC14_world_wonders,T180,7,7,9.058142857142856,2.264535714285714,2.0362714285714283,3.323371428571428
openai/gpt-5.5,NC14_world_wonders,T210,6,6,13.182466666666668,3.295616666666667,3.0056,4.432905555555556
openai/gpt-5.5,NC14_world_wonders,all,31,31,6.274851612903227,1.5687129032258067,1.3950096774193548,2.632375268817204
openai/gpt-5.5,NC1_value_at_T,T90,12,12,14.992916666666666,0.12174729365079363,0.06158466666666667,0.45323357627438754
openai/gpt-5.5,NC1_value_at_T,T120,12,12,26.789983333333335,0.21946240476190473,0.1053203650793651,0.40321624362094594
openai/gpt-5.5,NC1_value_at_T,T150,12,12,50.76831666666667,0.4171106428571429,0.2674522063492063,0.9024534759055921
openai/gpt-5.5,NC1_value_at_T,T180,12,12,52.38831666666667,0.4707565634920636,0.29080999999999996,0.7585093853953379
openai/gpt-5.5,NC1_value_at_T,T210,12,12,78.03673333333333,0.7114071031746033,0.49317098412698407,0.9622827205070172
openai/gpt-5.5,NC1_value_at_T,all,60,60,44.59525333333334,0.3880968015873016,0.24366764444444441,0.6959390803406562
openai/gpt-5.5,NC5_world_captures,T90,6,6,5.016766666666666,0.10033533333333335,0.058993333333333335,0.5102755555555556
openai/gpt-5.5,NC5_world_captures,T120,6,6,21.962200000000006,0.439244,0.34222266666666673,1.2722240736901116
openai/gpt-5.5,NC5_world_captures,T150,7,7,37.191114285714285,0.7438222857142857,0.5964982857142858,1.4687514651016775
openai/gpt-5.5,NC5_world_captures,T180,6,6,42.36536666666665,0.8473073333333332,0.6757119999999999,1.3346984829974498
openai/gpt-5.5,NC5_world_captures,T210,7,7,49.8984,0.9979680000000002,0.7859702857142857,1.256160753663393
openai/gpt-5.5,NC5_world_captures,all,32,32,32.05289375,0.641057875,0.5043390000000001,1.1805491939004435
openai/gpt-5.5,P1_civ_conquests,T90,6,6,0.6395666666666665,0.06395666666666666,0.014313333333333345,0.1063333333333334
openai/gpt-5.5,P1_civ_conquests,T120,6,6,1.5992333333333333,0.15992333333333333,0.04635333333333332,0.14652777777777773
openai/gpt-5.5,P1_civ_conquests,T150,7,7,2.1474,0.21474000000000001,0.06773714285714284,0.1615466666666666
openai/gpt-5.5,P1_civ_conquests,T180,6,6,2.348266666666667,0.2348266666666667,0.06172666666666669,0.13371666666666673
openai/gpt-5.5,P1_civ_conquests,T210,6,6,4.5419,0.4541900000000001,0.25575333333333333,0.45227777777777783
openai/gpt-5.5,P1_civ_conquests,all,31,31,2.251793548387097,0.22517935483870968,0.0884851612903226,0.19883741935483876
openai/gpt-5.5,P2_civ_losses,T90,6,6,1.029799999999999,0.10297999999999989,0.0269333333333332,0.12049999999999948
openai/gpt-5.5,P2_civ_losses,T120,6,6,2.620733333333334,0.2620733333333333,0.10034666666666668,0.21271444444444443
openai/gpt-5.5,P2_civ_losses,T150,6,6,2.2416333333333336,0.22416333333333338,0.06431333333333336,0.125420634920635
openai/gpt-5.5,P2_civ_losses,T180,6,6,6.657699999999999,0.6657699999999999,0.3747066666666666,0.42226984126984113
openai/gpt-5.5,P2_civ_losses,T210,7,7,4.435800000000001,0.44358000000000003,0.17801142857142857,0.2333893114821686
openai/gpt-5.5,P2_civ_losses,all,31,31,3.430638709677419,0.34306387096774194,0.14980258064516128,0.22319853884466778
openai/gpt-5.5,P3_civ_founds,T90,6,6,4.670766666666667,0.23353833333333338,0.1798066666666667,1.1205322222222225
openai/gpt-5.5,P3_civ_founds,T120,6,6,4.1437333333333335,0.2071866666666667,0.11942000000000001,0.5716142857142857
openai/gpt-5.5,P3_civ_founds,T150,6,6,3.908,0.19540000000000002,0.06442666666666667,0.1952917724867725
openai/gpt-5.5,P3_civ_founds,T180,7,7,4.671342857142858,0.23356714285714286,0.0880657142857143,0.2932656380127809
openai/gpt-5.5,P3_civ_founds,T210,6,6,5.585066666666666,0.27925333333333335,0.14080666666666666,0.46318858585858586
openai/gpt-5.5,P3_civ_founds,all,31,31,4.59821935483871,0.2299109677419355,0.11752322580645164,0.5211813117348603
openai/gpt-5.5,P5_techs_at_T,T90,6,6,4.8632,0.5403555555555557,0.444962962962963,1.5815333333333335
openai/gpt-5.5,P5_techs_at_T,T120,6,6,5.330633333333334,0.5922925925925926,0.4335185185185186,1.1996722222222225
openai/gpt-5.5,P5_techs_at_T,T150,6,6,4.976533333333333,0.5529481481481482,0.4030370370370371,1.113388888888889
openai/gpt-5.5,P5_techs_at_T,T180,6,6,4.620833333333334,0.513425925925926,0.34130370370370383,0.7748944444444446
openai/gpt-5.5,P5_techs_at_T,T210,7,7,5.320857142857143,0.5912063492063494,0.4073333333333334,0.9494771428571429
openai/gpt-5.5,P5_techs_at_T,all,31,31,5.032038709677419,0.5591154121863798,0.40607311827957,1.1181701075268817
openai/gpt-5.5,P6_world_techs,T90,6,6,26.325733333333336,1.3162866666666666,1.2030833333333335,3.8881825396825396
openai/gpt-5.5,P6_world_techs,T120,6,6,47.5857,2.379285,2.1927466666666664,4.456293102193102
