model,band,n,q,p
moonshotai/kimi-k2,9,102,0.9132,0.4088
openai/gpt-4.1,0,96,0.0863,0.3025
openai/gpt-4.1,1,54,0.1849,0.2578
openai/gpt-4.1,2,83,0.2713,0.2729
openai/gpt-4.1,3,67,0.3645,0.3667
openai/gpt-4.1,4,67,0.452,0.349
openai/gpt-4.1,5,83,0.54,0.3833
openai/gpt-4.1,6,60,0.6255,0.3933
openai/gpt-4.1,7,90,0.7356,0.3931
openai/gpt-4.1,8,48,0.8099,0.4185
openai/gpt-4.1,9,102,0.9132,0.4605
openai/gpt-5,0,96,0.0863,0.3111
openai/gpt-5,1,54,0.1849,0.2606
openai/gpt-5,2,83,0.2713,0.2931
openai/gpt-5,3,67,0.3645,0.3613
openai/gpt-5,4,67,0.452,0.3376
openai/gpt-5,5,83,0.54,0.4007
openai/gpt-5,6,60,0.6255,0.3642
openai/gpt-5,7,90,0.7356,0.3916
openai/gpt-5,8,48,0.8099,0.426
openai/gpt-5,9,102,0.9132,0.444
openai/gpt-5-mini,0,96,0.0863,0.2062
openai/gpt-5-mini,1,54,0.1849,0.2111
openai/gpt-5-mini,2,83,0.2713,0.2522
openai/gpt-5-mini,3,67,0.3645,0.2543
openai/gpt-5-mini,4,67,0.452,0.2845
openai/gpt-5-mini,5,83,0.54,0.3116
openai/gpt-5-mini,6,60,0.6255,0.309
openai/gpt-5-mini,7,90,0.7356,0.3082
openai/gpt-5-mini,8,48,0.8099,0.3477
openai/gpt-5-mini,9,102,0.9132,0.3727
openai/gpt-5-nano,0,96,0.0863,0.1743
openai/gpt-5-nano,1,54,0.1849,0.1537
openai/gpt-5-nano,2,83,0.2713,0.1643
openai/gpt-5-nano,3,67,0.3645,0.1421
openai/gpt-5-nano,4,67,0.452,0.1646
openai/gpt-5-nano,5,83,0.54,0.186
openai/gpt-5-nano,6,60,0.6255,0.1857
openai/gpt-5-nano,7,90,0.7356,0.1699
openai/gpt-5-nano,8,48,0.8099,0.2073
openai/gpt-5-nano,9,102,0.9132,0.2133
openai/gpt-5.4-nano,0,96,0.0863,0.1802
openai/gpt-5.4-nano,1,54,0.1849,0.1422
openai/gpt-5.4-nano,2,83,0.2713,0.1728
openai/gpt-5.4-nano,3,67,0.3645,0.1746
openai/gpt-5.4-nano,4,67,0.452,0.226
openai/gpt-5.4-nano,5,83,0.54,0.1905
openai/gpt-5.4-nano,6,60,0.6255,0.2157
openai/gpt-5.4-nano,7,90,0.7356,0.2313
openai/gpt-5.4-nano,8,48,0.8099,0.2277
openai/gpt-5.4-nano,9,102,0.9132,0.2562
openai/gpt-5.5,0,96,0.0863,0.2314
openai/gpt-5.5,1,54,0.1849,0.1813
openai/gpt-5.5,2,83,0.2713,0.2476
openai/gpt-5.5,3,67,0.3645,0.2533
openai/gpt-5.5,4,67,0.452,0.2625
openai/gpt-5.5,5,83,0.54,0.3078
openai/gpt-5.5,6,60,0.6255,0.3182
openai/gpt-5.5,7,90,0.7356,0.3148
openai/gpt-5.5,8,48,0.8099,0.3619
openai/gpt-5.5,9,102,0.9132,0.3803
openai/gpt-5.6-luna,0,96,0.0863,0.2402
openai/gpt-5.6-luna,1,54,0.1849,0.2244
openai/gpt-5.6-luna,2,83,0.2713,0.2336
openai/gpt-5.6-luna,3,67,0.3645,0.2591
openai/gpt-5.6-luna,4,67,0.452,0.2806
openai/gpt-5.6-luna,5,83,0.54,0.2923
openai/gpt-5.6-luna,6,60,0.6255,0.307
openai/gpt-5.6-luna,7,90,0.7356,0.3173
openai/gpt-5.6-luna,8,48,0.8099,0.3569
openai/gpt-5.6-luna,9,102,0.9132,0.3465
openai/gpt-5.6-sol,0,96,0.0863,0.3297
openai/gpt-5.6-sol,1,54,0.1849,0.269
openai/gpt-5.6-sol,2,83,0.2713,0.3329
openai/gpt-5.6-sol,3,67,0.3645,0.374
openai/gpt-5.6-sol,4,67,0.452,0.3376
openai/gpt-5.6-sol,5,83,0.54,0.4278
openai/gpt-5.6-sol,6,60,0.6255,0.4503
openai/gpt-5.6-sol,7,90,0.7356,0.436
openai/gpt-5.6-sol,8,48,0.8099,0.4846
openai/gpt-5.6-sol,9,102,0.9132,0.5108
openai/o3,0,96,0.0863,0.3022
openai/o3,1,54,0.1849,0.2587
openai/o3,2,83,0.2713,0.2746
openai/o3,3,67,0.3645,0.3294
openai/o3,4,67,0.452,0.3194
openai/o3,5,83,0.54,0.3848
openai/o3,6,60,0.6255,0.3862
openai/o3,7,90,0.7356,0.383
openai/o3,8,48,0.8099,0.4229
openai/o3,9,102,0.9132,0.4534
openai/o4-mini,0,96,0.0863,0.1699
openai/o4-mini,1,54,0.1849,0.1485
openai/o4-mini,2,83,0.2713,0.1771
openai/o4-mini,3,67,0.3645,0.1951
openai/o4-mini,4,67,0.452,0.196
openai/o4-mini,5,83,0.54,0.2264
openai/o4-mini,6,60,0.6255,0.2288
openai/o4-mini,7,90,0.7356,0.2442
openai/o4-mini,8,48,0.8099,0.2333
openai/o4-mini,9,102,0.9132,0.29
qwen/qwen3-235b-a22b,0,96,0.0863,0.3026
qwen/qwen3-235b-a22b,1,54,0.1849,0.2422
qwen/qwen3-235b-a22b,2,83,0.2713,0.2924
qwen/qwen3-235b-a22b,3,67,0.3645,0.2746
qwen/qwen3-235b-a22b,4,67,0.452,0.2925
qwen/qwen3-235b-a22b,5,83,0.54,0.3355
qwen/qwen3-235b-a22b,6,60,0.6255,0.3233
qwen/qwen3-235b-a22b,7,90,0.7356,0.3283
qwen/qwen3-235b-a22b,8,48,0.8099,0.4027
qwen/qwen3-235b-a22b,9,102,0.9132,0.3361
qwen/qwen3.5-flash-02-23,0,96,0.0863,0.3538
qwen/qwen3.5-flash-02-23,1,54,0.1849,0.3515
qwen/qwen3.5-flash-02-23,2,83,0.2713,0.3816
qwen/qwen3.5-flash-02-23,3,67,0.3645,0.3782
qwen/qwen3.5-flash-02-23,4,67,0.452,0.3682
qwen/qwen3.5-flash-02-23,5,83,0.54,0.4624
qwen/qwen3.5-flash-02-23,6,60,0.6255,0.492
qwen/qwen3.5-flash-02-23,7,90,0.7356,0.4622
qwen/qwen3.5-flash-02-23,8,48,0.8099,0.4438
qwen/qwen3.5-flash-02-23,9,102,0.9132,0.4727
